micha-iv-75-2	fr111-iv-75-2	sommer-iv-75-2	inc-iv-75-2	fr333-iv-75-2	fr751-iv-75-2	lanzarote-iv-75-2	lancellotto-iv-75-2
qu’il vit l’uis de la chambre ouvrir;  si entra laienz une damoisele 	que luys de la chambre ouury  et entra leans une damoisele 	quil uit luis de la cambre ourir.  Si entra laiens vne damoisele 	qu il ueist luis dune chambre ouurir  si entra leans une damoiselle 	quil uit luis de la chambre ouurir.  Si entra laienz une damoisele. 	quil uit de luis dune chambre issir une damoisele. 		che vide l’uscio della camera aprire,  si entrò là entro una damigella 
qui li aporta a mengier a grant planté. Il la salue, 	qui luy apporta a manger a plante. Il la salue 	qui li aporta a mangier a grant plente. Il le salue 	qui lui apportoit a mengier a grant plante. 	qui li aporta a menger a grant plente. il la salue 	qui assez aporta a mengier. Il la salue 		che gli aportò mangiare a gran quantità;  ed
quant il la voit venir 	quant il la uoit uenir 	quant il le voit uenir. 	Quant il la uoit uenir il la salue: 	quant il la uoit uenir 	quant il la uit uenir 		e' la saluta  quand’e la vide, 
et ele ausi lui. « Damoisele, fait il, par la riens ou monde 	et elle luy aussi. Damoisele fait il. dictes moy 	Et elle lui autresi. Damoisele fait il par la riens el monde 	et elle aussi lui. Damoiselfe fait il par la chose 	et ele aussi lui. Damoisele fet il par la foi  que uous deuez a la riens el monde 	et ele lui. Damoisele fait il par la rien 		e ella altresi lui.  PeDamigella, diss’elli, 
							per la fé 
							che vo dovete alla cosa del mondo 
que vos plus amez, dites moi 	sil uous plaist 	que vous plus ames dites moi 	que uous plus aymez dictes moy 	que uous plus amez. dites moi 	que uos plus amez dites moi 		che vo' più amate, diteme 
ou je suis. — Sire, fait ele, vos estes el chastel de la Charrete 	ou ie suys. Sire fait elle uous estes ou chastiel de la charrete 	ou iou sui. Sire fet elle vous estes el chastel de la charrete. 	ou ie suis. Sire fist elle uous estes au chasteau de la charrecte 	ou ge sui. Sire fet ele: uous estes el chastel de la charrete. 	ou ie sui. Sire fait ele si mait diex uos estes el chastel de la 		ov’i' sono.  -Sire, diss’ella, vo' siete nel castello della Caretta 
qui siet a l’antree de Gorre. »  Et il se seingne de la merveille  que il a. « Sainte Marie, fait il, 	qui siet a lentree de gorre.  Et il se seigne de la merueille qu il a Saincte marie fait il 	qui siet en la terre de gorre.  Et il se seigne de la merueille  quil en a. Sainte marie fet il 	qui siet a lentree de gorre.  Et il se seigne de la merueille  quil a. Haa saincte marie dit il 	qui siet avlentree de gorre.  Et il se saigne de la merueille  que il a. Sainte marie : fait il. 	charrete.et il ce sangne de la merueille  quil en a. sainte marie  fait il	y fiçieron su encantamiento sobre don lançarote 	che siede nell’entrata di Vora».  E egli si segna della maraviglia  ch’egli n’à.  ^eSanta Maria, diss’egli, 
qui m’i amena ? — Sire, fait ele,  ce ne vos dirai je mie;  mais mengiez  et efforciez vos  et vous couchiez  quant vos plaira en cel lit 	qui my a amene. Sire fait elle  ce ne uous diray ie mie.  mais mangez  et uous efforcerez  et uous couchez en ce lit 	qui mi a amene. Sire fet elle ce ne vous dirai iou pas.  mes mangies  et vous enforcies. et gisies  sil vous plaist en cel lit 	qui me y amena.  Ce ne uous diray ie pas mes: mengez  et uous couchez en ce lit  qui est emprez uous 	qui mi amena. Sire fet ele ce ne uous dirai ge mie.  Mes mengiez et esforciez uous.  Et uous couchiez quant uous plera. en cel lit 	qui mi amena Sire fait  ele  ce ne uous dirai ge mie hore.  mais mengiez  et uos esforciez  et uos couchiez  quant uos plaira. en cest lit 		chi mi ci à menato? -Sire, diss’ella,  ciò non vi dirò ora mica. Mangiate e isforzate voi,  e vo coricate,  quand’e' vo piacerà, in quel letto là 
qui assez est biax et riches. — 	qui est assez beau  et riche. 	qui asses est biaus et riches 	lequel est assez beau et riche. 	qui assez est biaux et riches.	qui est biax et riches. 		ch’è assai bello e 
Et de Lion, dame, car me dites nouveles,  se vos savez. — 	Et de lion dame dictes men nouueles  se uous en scauez.	Et de lyonel damoisele fait il  quar men dites noueles.  se vous le saues. 	Haa damoiselle de lyonnel me dictes nouuelles  se uous en sauez riens 	Et de lyon. damoisele sauez uous nules noueles.  Car me dites se uous en sauez. 	et de lyonel mon cousin  car me dites nouelles. 		ricco.— E di Lion, damigella, diss’elli,  or mi dite novelle  se voi ne sapete. 
Si m’aïst Diex, sire, fait ele, je  ne sai  ou Lioniax est 	Si maist dieu fait elle ie ne scay  ou lion est. ne ne le cogneu oncquez 	Si mait diex fait elle iou ne sai  qui cils lyoniaus  est 	Si maist dieu dit elle ie ne scay  qui est ce lyonnel: 	Si mait diex. sire fet ele ge ne sai cil lyomiax est. 	Si maist diex sire fait ele Ie ne sai  qui il est. 		— Se m’aiuti ldio. diss’ella,  i' non so chi Lion est 
ne onques n’en or parler a mon esciant  et  por ce ne vos en sai ge dire voir ne mançonge. » 	mais. ne nen ouy parler a mon esciant et par ce  ne uous en scay ie dire  ne uoir ne menconge. 	ne onques nen oy parler a mon escient.  Ne iou ne vous en sai a dire  ne uoir ne menchoigne 	et oncques nen ouy parler.  et pource ne uous en sauroie ie dire nulles nouuelles. 	ne onques mes nen oy parler a mon escient. et  por ce ne uous en sai ge dire  uoir ne menchonge.	ne onques nen oie parler au mien esciant.  et pour ce ne uous en sai ie dire  ne uoir ne mensonge. 		e né unque mai no n’udi parlare a mio sciente, e perciò non voi ne so io dir vero né mengna».
Quant il oit  que il est einsi del tout desvoiez,  si ne set que dire, 	Quant il uoit  qu il est ainsi desuoye. 	Et quant il oit toutes uoies  quil est ensi desuoies  si ne set que dire. 	Quant il  ot que ainsi est du tout desuoie il ne scait  que dire: 	quant il  ot quil est einssi del tout desuoiez.  si ne set	quant il uoit ce  qu il est del tout desuoiez si ne sot que dire. 	detal manera que el fue tornado como muerto 	Quand’e vide  ch’egli è si del tutto disviato,  si non sa che dire, 
mais toutes voies manjue et s’asiet 	mais toutesuoyes sassiet par ce 	mais toutes voies mangue et saaise comme cil 	mais toutesuoes mengut pource 	que dire. mes touteuoies meniue  et sasiet 	et toutesuoiees saciet 	y pusieronlo enlas andas 	ma tuttavia manuca  e egli s’asiede, 
por ce qu’il n’avoit de tot le jor mangié: 	quil nauoit mange de tout le iour 	qui nauoit toute ior mangie. 	quil nauoit de tout le iour mengie.	por ce  quil nauoit de tout le iour mengie. 	por ce  quil nauoit de tot Le ior mengie. 		impercioch’egli non avea in tutto l giorno mangiato, 
si manjue dolanz et courouciez. 	et mangent doulent et corrouce. 	si mangue si dolans et si coroucies  que nus plus. 	Si mengue dollent et courrouche/ 	si meniue dolenz et courouciez. 	Si meniue  et boit dolens et correciez.		sì manuca dolente e crucciato. 
							E-lla damigella si parte 
Et quant il a mangié, 	et quant il eut mange 	Et puis quant il ot mangie 	et quant il eust menge 	Et quant il a maingie 	et quant il a assez mengie 		quand’egli à mangiato, 
si vient laienz I. vallez 	si uint leans ung uarlet	si vint vns ualles laiens	si uint leans ung uarlet 	si uint laienz .i. uallet 	si uient laiens uns uarles 		si viene là entro un valletto 
qui le deschausclce  et il i se couche maîntenant en J. lit 	qui le deschauce  et le couche en ung lit 	qui le descaucha.  Et il se coucha maintenant en vn lit 	qui le deschausse  et il se couche maintenant en ung lyt 	qui le deschauce.  et se couche maintenant en .i. lit 	qui le deschauce maintenant  et couche en .i. bel lit 	y pusieronlo asi sobre dos palafrenes 	che l discalza,  e egli si corica immantanente in uno letto 
qui estoit faiz en mi la sale. 	qui estoit fait enmy la sale 	qui estoit fais en mi la cambre. 	qui estoit fait emmi la salle/ 	qui estoit fez enmi la sale. 	qui estoit fais en la chambre. 		ch’era fatto nel miluogo della camera. 
Si dormi mauvesement toute la nuit, 	et dormy mauuaisement toute nuyt. 	si a dormi maluaisement toute la nuit. 	si dormit la nuyt menlt mauueisement/ 	Si dormi mauuesement toute la nuit. 	Si dormi mauuaissement tote la nuit. 		Si dormi molto malvagiamente tutta la notte, 
quar onques ne fina de penser a lui et a Lionel,  si pensa toute la nuit 	Car oncquez ne fina de penser a luy et lionel.  si y pensa toute la nuyt	quar il ne fina de penser a soi et a lyonel. sY endemain a heure de prime vindrent laiens lez trois dames 	car encques ne fina de penser a luy et a lyonnel  Si passa en telle maniere toute la nuyt 	Car onques ne fina de penser a lui et a lyon  Si passa en tel maniere tote la nuit	Car onques ne fina de panser a soi et a lyonnel.  Si pansa cele nuit en tele maniere 		ch’unque non finò di pensare a llui e a Lion,  si pensa in qual maniera tutta la notte 
que onques ne dormi ne reposa. a A l’andemain aprés ore de prime,  quant li solauz fu levez, vindrent a lui les III. dames 	tant quil ne dormy ne ne repousa oncques Landemain apres heure de prime uindrent a luy les troys dames 	qui lauoient laiens aporte. 	qu il ne dormist ne reposa. LEndemain apres heure de prime/  quant le solleil fut leue uindrent a luy les .iii dames 	que onques ne dormi ne ne reposa. A Lendemain apres heure de prime.  quant li soleus fu leuez uindrent a lui. les. .iii. dames	que il point ne reposa.  A lendemain a eure de prime  quant li solaus fu leuez uindrent les trois dames Laiens.		che unque non dormi  e niun si riposò. Lo domane, apresso ora di prima,  quando 'l sole fu levato, venonno a llui le tre dame 
qui laienz l’orent. aporté et furent vestues et acesmees si richement  que nule mielz.  Et quant eles furent entrees en la chambre, 	qui leans leurent porte. et furent uestues et atournees trop richement.  Et quant elles furent entrees en la chambre 	si furent uestues et atornees si richement comme dames se doiuent atorner  qui de tel valeur sont.  Et quant elles furent entrees en la cambre 	qui leans le auoient fait aporter/  si furent uestues si richement/  que nul ne ueist oncques mieulx. Et quant en la chambre furent entrees 	qui laienz loient aporte.  et furent uestues et acesmees si richement  que nule miex.  Et quant eles furent entrees en la chambre 	que illuec lauoient fait aporter.  et furent uestues et atornees si richement que nulle miex.  Qnent eles furent entrees en la chambre 	e antes que fuese noche llegaron al castillo dela Carreta 	che là entro l’aveano fatto apportare, e furono vestite  e aconce si ricamente  che nulle meglio.  E quand’elle furono intrate nella camera, 
si parla cele des Ill. 	si parla celle des troys 	si parla li vne dez. iij. 	si parla celle 	si parla cele des .iii. 	si parla cele 		si parlò quella delle tre 
qui roine estoit : « Sire chevaliers, vos estes en nostre prison, 	qui estoit royne et dist. Sire cheualier uous estes en nostre prison. 	qui royne estoit.  Si li dist. Sire cheualiers vous estes en nostre prison. 	qui royne estoit  et dist Sire cheualier uous estes en nostre prison/ 	qui royne estoit.  et dist . Sire cheualiers uous estes en nostre prison. 	qui roine estoit  et dit. Sire cheualiers uos estes en nren prison. 		che reina era eslli disse: Sire cavaliere, vo siete in nostra prigione, 
mais d’itant vos est il bien avenu 	mais de ce uous est bien aduenu 	mais de tant vous est il bien auenu 	mes de autant uous est il bien aduenu/ 	Mes de tant uous est bien auenu 	Mais de tant uos est bien auenu 		ma di tanto v’è egli bene avenuto 
que la raençon sera legiere. — Dame, fait il, dites la 	cas ma rencon sera legiere. Dame fait il dictes la.	que la raencon en sera legiere Dame  fet il dites le. 	que la raencon sera legiere. Dame fist il dictes la/ 	que la raenchon sera legere. Dame fet il dites la.  et se ge	que la reansons uos cera mout legiere. Dame fait il donc le dites. 		che lla ragione per che voi ne potete uscire sarà leggère.  — Dama, diss’egli, ditela: 
et se je me puis, je me raiembrai. — Sire, fait ele, la raençon est tele  qu’il couvient  que vos preingniez laquele  que vos voldroiz de nos Ill.  qui vos plaira; 	et si ie puys ie la payeray. Sire fait elle la rencon est itelle  quil conuient  que uous preignez celle de nous troys  qui uous plaira le mieulx 	et se iou puis iou men raembrerai. Sire fait elle la raenchons est tele  que vous pregnies laquele de nous. iij.  qui miex vous plaira. 	et se ie puis ie y mettray remede. Sire fist elle la raencon est telle,  quil cenuient  que uous preigniez celle de nous trois  qui mieulx uous plaira. 	puis ge me raembrai sire  fet ele la raenchon est cele  que il couient  que uous prengiez cele de nous  .iii.  qui miex uous plera. 	et ie me raienberai uolentiers.  Ce ie puis. Sire fait ele la raonces est tele quil couuient  que uos prangniez celi de nous  trois  que miex uos plaira. 	y aquel castillo hauia asi nombre 	s’i' posso, i' mi  ricomperò.- Sire, diss’ella, la ragione si è tale  ch’egli conviene  che vo pigliate quella di no' tre  che meglio vo parà; 
et se vos ne le volez faire 	et si uous ne le uoulez faire 	Et se vous ce ne uoles faire 	Et se uous ne le uoulles faire/ 	Et se uous ne le uolez fere 	et ce uous ne le uoles faire 		ee se voi nol volete fare, 
et vos soiez si orguilleux 	et uous soyez si orgueilleux 	que vous soies si orgueilleus 	et uous soyes si orguilleux 	et uous soiez sa orgueilleus 	que uos soiez si orguilleus 		lel vo'siate or glorioso 
que nule de nos ne vos plaise,  vraiement sachiez 	que nulle de nous ne uous plaise. urayement sachez 	que nulle de nous ne vous plaise. vraiement Sachies 	que nulle de nous ne uous plaise/  uraiement sachies 	que nul de nous ne uous plese. uraiement sachiez 	que nulle de nous ne uos plaisse :  uraiement sachiez 		che nulla di no' tre non vi piacesse,  veracemente il sappiate 
que vos n’istroiz jamais de ceanz,  ainz i seroiz touz dis em prison. » 	que uous nistrez iamais de ceans  ains serez tousiours en prison.	que vous nisterois iamais de prison. 	que uous nystres iamaiz de ceans/  ains y seres tousiours en prison. 	que uous nistrez iames de caienz.  ainz i serez a touz iors em prison.	que iamais nisterois de saiens  ains i cerois tousdis en prison. 	porque don lanzarote abia ay entrado envna carreta 	che voi non uscirete giamai di qua entro.  anzi sarete tutto giorno in prigione»s. 
