micha-ii-48	lancellotto-ii-48	fr751-ii-48	sommer--ii-48	fr111-ii-48	inc-ii-48	lanzarote-ii-48
et lors voit devant lui la forest  que l’en apele la forest des Trois Perilx,  et ce  por quoi ele fu ensi apelee devisera bien li contes ça avant. 	alti. Allora isguarda davanti  lui, si vide la foresta  che l’uomo chiama la foresta de' Tre Perigli, e ciò perch’ella fu insi chiamata  vo diviserà il conto ben qua  avanti. Sl 	et lors uoit deuant lui la forest des trois perilx. et ce porquoi ele fu ainsi apelee  ce deuissera li contes sa auant. 	Et lors uoit deuant lui la forest dez. iij. perieus:.  Et chou  porcoi elle est ensi apelee deuisera bien li contes cha auant. 	Et lors uoit deuant luy la fourest quon appelle la fourest des troys perilz.  Et pour quoy elle fu ansi appellec uous deuisera bien le comte  cy apres. 	et lors uoit deuant luy la forest des trois perilz et ce pour quoy elle est ainsy appellee deuisera bien le compte cy en auant. 	e llego avna floresta  que llamauan la floresta delos tres pilares  e porque fue ella asi llamada este cuento lo deuisara aca adelante 
Quant il fu amont el tertre,  si esgarde devant lui,  mais il ne voit nul de cels  que il queroit,  kar il s’estoient ja ferus en la forest.  Et totes voies sieut il les esclos des chevals  tant que il vient a l’entree de la forest;  et lors encontre une damoisele tote chenue qui chevalchoit molt cointement 	oQuand’e fu montato nel  poggio, si isguarda davanti lui. ma elli non vide nullo di quelli ch’elli  chiedea, ché s’erano già messi nella foresta. E nonperquanto tuttavia segue elli li scrosci de' cavalli  tanto  ch’egli è venuto all’entrata della foresta. Allora incontrò elli una dama tutta canuta che cavalcava molto 	Quant lanc̃. fu amon el tertre si regarde  Mais il ne uoit deuant lui nus de ciax que il guiert.  Car il cestoient ia feru en la forest.  et totesuoiez sieut il les escloz des cheuaus.  tant que il uient en lentree  et lors encontre une dame tote chenuee.  qui cheuauchyt mout coitement. 	Quant lancelot fu amont el tertre  si regarda deuant lui  mais il ni uit nul de ceaus  que il queroit  quar il sestoient ia feru en la forest. Et toutes voies sieut il lez esclos dez cheuaus  tant quil est uenus a lentree de la ; forest.  Et lors encontra vne damoisele toute kenue  qui cheualchoit moult noblement.	Quant il fu amont ou tertre  si regarde deuant luy.  et il ne uoit nul de ceulx  quil queroit. car ilz sestoient ia feruz en la foueest. a touteuoyes suyt il les escloz Des cheuaux  tant quil uient a lentree  Et lors encontra une dame toute chenue  qui cheuauchoit moult cointement. 	QUant il fust amonlt eu tertre  si regarde deuant luy  et suyst les pas des cheuaulx  tant quil uint a lentree de la forest/  et lors encentra une damoiselle toute chanue 	Quando el llego ala floresta  e no vido aquel enpos  quien yua  e fue entonçe porende muy triste entonçe encontro vna donçella envn muy fermoso palafren  que hera toda cana 
et estoit tote deslie, ses treces par ses espaules comme pucele 	contamente, suo capelli isparti per sue spalle  com’una 	et ert tote desliie.ses tresces par ses espaules comme pucele. 	et auoit sez treches toutes desloies par sez espaulles  comme pucele. 	et estoit toute desliee les treces sur les espaules comme pucelle. 	qui cheuauchoit menlt coinctement toute descheuelee/ ses tresches entre ses espaulles  comment une pucelle	e lleuaua los cauellos tendidos porlas espaldas  como si fuese muy moça 
et avoit en son chief l. chapel de roses,  kar c’estoit entor la Saint Johan. Il le salue 	pulcella,  e avea in suo capo uno capello di  rose, ché ciò era intorno il Santo 	et auoit en son chief un chapelat de rosez.  Car cestoit Entor la feste saint iehen. Il la salue 	Et auoit en son chief chapel de roses  quar ce estoit entor la saint iehan : Il le salue maintenant 	et auoit en son chef ung chapel de  soucique  car cestoit entour la saint iehan Il la salue. 	et auoit sur son chief ung chapiau de roses/ il la sallue 	e traia vn capillejo de Rosas enla cabeça  Ca hera entonçe  por sant juan 
			quil la uit. 			
et ele li dist 	Giovanni. Elli saluta ed ella gli dice 	et ele li dist 	Et elle dist 	et elle luy dist 	et elle luy dist 	e lançarote lo saluo  e ella lo torno sus saludes 
que bone aventure li doinst Diex. « Damoisele, fet il,  me savriés vos a dire 	che buona aventura gli doni lddio. Dama, disse  Lancellotto, mi sapreste vo' dire 	que bone auauture li doint diex. Dame fait lanc̃. me saurrez uos adire 	que diex li donnast boine auenture.  Damsolisele fait  sil me sauries vous enseignier	que bonne auanture luy doint dieu damoisele fait il me scauriez uous a dire 	que bonne aduanture luy dennast dieu damoiselle fait il aues uous point ueu passer par cy ung cheualier a unes armes uermeilles.  Eu nom dieu fait elle 	Donçella dixo lançarote saberme yades enseñar 
quel part uns chevaliers o unes armes vermeilles s’en vet ? — 	in quale parti uno cavaliere a une armi vermiglie se ne va? —Al nome di 	quel part uns cheualiers a unes armes uermeilles sen ua. 	quel part vns cheualiers sen uait  qui porte vnes armes uermeilles. 	quelle part sen ua ung cheualier a unes armes uermeilles 		por do va vn Cauallero devnas armas bermejas 
En non Diex, fet ele, je le vos enseigneroie bien,  se je voloie. — Dites le moi, fet il,  par covent  que je soie vostre chevaliers el premier lieu  ou vos me requerrois. — 	Dio,  diss’ella, il voi insegnerei  bene, s’i' volesse. — Ditelme, disse  Lancellotto, per convento  che sia vostro cavaliere nel primaio luogo che vo me ne richiederete. —?Se vo' mi 	En nodieu fait ele ie le uos ensangneroie bien  ce ie uoloie. Dites le moi fut il par couent  que ie soie uostres cheualiers el premier lieu  ou ie buos trouerai. 	Enon dieu fait elle iou le vous enseigneroie bien  se iou voloie. Dites le moi fait il par tel couuent  que iou soie vos cheualiers el premier lieu ou vous me requerres. 	Certes fait elle ie le uous enseigneroye bien  si ie uouloye. Dictez le moy fait il  par conuent  que ie soye uostre cheualier ou premier lieu  que uous me requerrez.	se ie uoulloie ie uous lenseigneroie bien dictes le moy fait il par tel conuenant  que ie soie uostre cheualier au premier lieu  que uous me requerres/	Por dios dixo ella  yo voslo enseñare bien  si quisiere dezidme dixo lançarote  Por tal conuenençia  que yo sea vuestro cauallero enel Primer lugar  que me rrequerades 
Se vos me creantés, fet ele,  que vos me sievrois  de quel hore 	giurate, disse la  vecchia, che vo'mi seguirete di qualche ora  ch’i vo ne 	Se uous me uoles creanter  que uos me siere de quel hore 	Se vous me creantes fait elle que vous me sieurres el premier lieu 	Se uous me creancez fait elle  que uous me suyurez a quelque heure 	se uous me promettes  que au pre/ mier lieu 	Si vosme jurades dixo la donçella  que vayades conmigo  luego enla ora 
que vos en semoigne, je le vos enseignerai. » Et cil li creante, 	riglia, io il vo insegnerò». Ed e' lel giura 	que ie uus en semongne ; ie le uos en sangnerai.  et il li creante.	ou iou vous en semondrai. iou le vous enseignerai.  Et il li creante maintenant : 	que ie uous semondray. ie le uous enseigneray.  Et il luy creance. 	ou ie uous requesray uous me aideres ie uous lenseigneray/  et il luy promet/ 	que vos llamare  yo voslo mostrare  e lanzarote lo juro luego 
dont il se repenti  puis molt durement tel hore fu. « 	immantanente, donde si penté poscia duramente tale ora fu. “Or 	dont il se repanti  puis mout durement tel hore fu.	dont il fu puis corocies et moult se repenti tele heure fu. 	dont il se repenty  puis moult fort. 	denc depuys sen repentist/ 	donde el se arrepintio despues muy duramente tal ora fue Vos yredes 
Or alés, fet ele, tot cest chemin», 	andate,  diss’ella, tutto questo 	Or uos en alez fait ele par ci 	Ore ales fait elle tout chest chemin 	Se allez fait elle tout ce chenin. 		poreste camino dixo la donzella 
si li mostre I. sentier estroit  qui aloit al travers de la forest. «  Si ne tornés, fet ele, de nule part  et quant vos avrois alé entor demie lieue,  si verrois delés I. vivier trois paveillons tendus.  La dedens troverois le chevalier 	camino»,  si gli mostra uno sentieri stretto ch’andava in traverso della  foresta, «sì non vi  volgete, diss’ella, i'nulla parte,Se quando voi arete andato intorno a meza  lega,  si vedrete dallato uno vivaio intorniati  quatro padiglioni  tenduti: di dentro troverete il cavaliere 	si li mostre .i. estroit santier  qui aloit outre uers de la forest.  Si ne tornez de nule part.  et quant uos aures ale entor demie lieue :  si uerres delez .i. uanier aux pauillons tandus.  La dedens troueres le cheualier 	si li moustre. j. sentier estroit  qui aloit dentrauers la forest.  si ne tornes nulle part.  Et quant vous aures erre demie lieue.  si troueres.  iiij. pauellons sor. j. uiuier tendus.  et la dedens troueres le cheualier 	si luy monstre ung sentier moult estroit  qui aloit a trauers de la fourest.  et luy dist  quil ne tourne ca ne la.  Et quent uous serez fait elle alle entour demye lieue  si uerrez de la ung mont quatre paueillons tenduz.  La dedans trouuerez le cheualier 	Or alles fait elle tout ce chemyn en trauers de la forest sans tourner de nulle part.  Quant uous aures cheuauche enuiron demye lieue  si uerres de les une riuiere trois pauillons la dedens trouueres le cheualier 	fasta que falledes vn sendero atrauieso dela floresta  e entonçe tomaredes aquel sendero  e desque hubieredes porel andado quanto vna legua fallaredes antevn nogal tres tiendas Armadas  e enla vna dellas fallaredes el Cauallero 
que vos querés que l’en apele Arramant le Gros;  si le conoistrois a ces enseignes  qu’il a en mi le front II. plaies.	che vo'  chiedete, che l’uomo chiama Aramonte il Grosso, si 'l conoscerete a queste  insegne, ch’egli à nel miluogo del viso due 	que uos queres  que len apele arramant le gros.  Si le quenoistres a ses ansangnes  quil a el fronc .ii. plaieez.	que vous queres  que on apele atramant le gros.  si le connistres a ces enseignes  quil a en mi le front. ij. plaies. 	que uous querez  que len appelle arramant le grec.  si le cognoistrez a ces enseignes  quil a deux playes enmy le front. 	que uous demandes  et len lappelle arrement le gras et le cengnoistres a telles enseignes  quil ha deux playes au frent/ 	que buscades aque llaman aramante el grueso  e vos lo conoçeredes porestas señales en medio dela frente ados llagas 
Or vos en poés aler, 	colpi. Or vo ne potete 	Or uos en poez aler 	Or vous en poes aler fait elle	Se uous en pouez aller 	or uous en poues aller mes 	agora vos podedes yr 
mais que vos m’aiés dit vostre nom. »  Et il se nome molt a envis et totes voies li dist 	andare, ma' che vo' m’abiate detto vostro nome». Ed e' si noma molto ad  invidia,  e tuttavia le diss’elli 	mais que uos mauez dit uostre non.  et il se nome mout a enuiz et totesuoiez dit il 	mais que vous me dites vostre non.  Et il se nomme moult a enuis.  mais toutes voies li dist il	mais que uous mayez dit uostre nom. Et il se nomme a moult grant peine.  Et toutesuoyes luy dit il 	que mayes dist uostre nen/  et il se nomme monlt enuiz  et dist 	mas anteme deçid  como auedes nombre  e el se nombro mucho amidos 
qu’il a non Lancelot del Lac. « Alez a Dieu », fet ele.  Atant s’en part  et s’en vet tot le chemin 	ch’egli à nome Lancellotto di  Lac. Atanto si parte dalla vecchia  e se ne va tutto suo camino 	quil a non lanc̃ del lac.  si sen part atant.  et sen ua tout le chemin 	quil a a non lancelot del lac.  A tant sen uait lancelot tout le chemin 	quil a nom lancelot du lac.  Et il sem part a tant  et sen uait tout le chemin 	quil a a nen lancelot du lac.  A tant sen ua lancelot tout le chemyn 	e dixo yo he nombre Lançarote del lago Lançarote se partio luego dela donçella  e fuese Porel camino 
qu’ele li avoit enseigné,  si grant aleure 	ch’ella l’avea insegnato, sì grande andatura 	que cele li auoit ensangnie.  Si grant aleure 	que elle li ot enseignie. si grant aleure 	quelle luy auoit enseigne si grant aleure 	quelle luy a enseigne/ 	que ella hauia mostrado  e yua tan apriesa 
com il plus puet del cheval traire,  tant que il atainst les chevaliers  que il sievoit. 	come può del cavallo 	comme il puet del cheual traire.  Et tantost ataint les cheualiers  que il suoit. 	comme il puet del cheual traire.  tant quil ataint lez cheualiers  as  quil sieuoit. 	tant quil ataint les cheualiers  qu il suyuoit. 	tant quil attaint le cheualiee 	quanto el cauallo podia andar  e andubo asi  fasta que alcanço los caualleros depos quien yba 
Et cil lor i escrie si haut 		et il les escrie si haut 	si lor escrie si haut 	Et il leur escrie si hault 	si luy escrie si hault 	e el les començo a dar vozes 
que bien porent oîr, 		que bien le pueent entandre 	que tout le porent bien oir. 	que bien le peurent ouyr 	que bien le peult ouir 	de quanto vido  que le podian oyr 
et maintenant li vient acorant li uns d’eus, l’escu al col, le lance el poing,  et fu armés de totes armes. 		et maintenant li uient acorant li uns daus lescu au col la lance el poing.  et fu armes de toutes armes. 	Et maintenant li vint a lencontre li vns daus a cheual lescu au col la lance el poing  et fu bien armes de toutes armes. 	Et adonc luy uient courant lun deulx lescu au coul la lance  ou poing.  et fu arme de toutes armes 	maintenant luy uient a lencontre lun de lautre lescu au col la lance au poing armes de toutes pieces/ 	e luego vino contrael vno delos caualleros el escudo al cuello e la lança enla mano armado de todas armas 
Et Lancelos le fiert  si que pour le hauberc ne remaint  qu’il ne li met par mi le cors le fer del glaive  si l’empaint bien com cil 		et lanc̃ le fiert  si que por le haubert ne remaint:  que il ne li meste parmi le cors et le fer et la glauie.  Si lenpant bien comme cil 	Et lancelot le fiert si durement.  que por le hauberc ne remaint il mie  quil ne li mete parmi le cors le fer del glaiue.  si lempaint bien comme cil 	Et lancelot le fiert  si que pour le haubert ne demeure  quil ne luy mecte le fer du glayue parmy le corps. Il lempanit bien comme cil 	et lancelot le fiert si durement  quil luy met le fer du glaiue parmy le coprs 	e lançarote lo yryo asi tan duramente  que porel escudo ni porla loriga no finco  quele no metiese la lança 
