	micha-ii-61-2	fr111-ii-61-2	sommer-4-ii-61-2	inc-ii-61-2	fr751-ii-61-2	lanzarote-ii-61-2	lancellotto-ii-61-2
1542|1543|1544	si li laisse corre, son glaive aloigné |et mesire Yvain a lui; |si s’entredonent si grans cops sor les escus 	si laisse courre son glayue esloigne et messire yuain a luy. |si sentredomnent si grans coups sur les escuz	Lors laissent corre li vns uers lautre |si sentredonnent telx cops sor lez escus 	si luy lesse courre |et monsieur yuain a luy. |Si sentre donnent si grans coups sus leurs escus 	Si laisse corre le glaiue alongnie. |et messires .y. a lui |si sentredonent tex cox sor les escuz 	y don yban lo firio tan de Reçio 	Allor lascia corere, la lancia islungata, |e monsignore Yvano a-llui; |si si tradonano si gran colpi sopra gli scudi 
1545	qu’il les font fendre et percier et les haubers desmaillier et derompre; 	quilz les font fendre et percer et desmailler les haubers 	quil les font fendre et perchier et lez haubers derrompre et desmaillier. 	quilz les font fendre et percher/ |et les haubers desmailler et derompre/ 	quil les font fandre et percier et les haubers deronpre et desmaillier. 		che gli fanno fendere e spezare, |e gli asberghi a dismagliare e dirompere.
1546	si se metent es chars nues les giaives trenchans, 	si se mectent les glayues trenchans es chars nues. 	Si sentremetent es chars nues les fers dez glaiues. 	si entrent es chars nues les fers des glaiues/ 	Si ce mestent es chars nues les fers tranchans. 		Si si misono nella carne ignuda le lance trincanti 
1547|1548|1549	si s’entrehurtent des escus et des cors et des visages, |si s’entreportent a terre tot enferré. |Mesire Vvain est navrés el costé destre 	et sentrehurtent de corps de uisages et descuz |si se portent a terre tous enferrez |Et messire yuain est naure on couste destre. 	Si sentrehurtent des cors et des escus et dez uisages si durement |quil sentreportent a terre tot enferre|Si est mesires ywains naures el coste destre. 	puys sentreheurtent des corps et des uisaiges |tant quilz sentreportent a terre/ monsieur y. estoit naure en lespaulle/ 	et se hurtent des cors et des cheuaus si sentreportent a la terre tuit esfree MEssires .y. fu naures el destre costel 	quelo derribo en tierra todo atordido 	e si trapercuotono di corpi e di visaggi, |si si traportano alla terra tutti |inaverati.Monsignore Yvano est fedito per me' il costato destro, 
1550	et li chevaliers fu ferus par mi le cors si durement 	Et le cheualier fu feru par le corps si fort 	Et li cheualiers est naures si durement 	et le cheualier estoit feru parmy le corps 	et li cheualiers fu ferus parmi le cors si durement :		e l cavaliere fu fedito per me il corpo si duramente 
1551|1552	qu’il n’a pooir de soi relever de la |ou il gist. 	quil na piussancce de soy releuer de la|ou il gist. 	quil na pooir de soi releuer de la|ou il gist. 	si quil nauoit pnissance de soy releuer 	quil na poissance de soi releuer. de la |ou il gist. 	que no se pudo leuantar 	che non à possanza di sé rilevare di là |ove giace. 
1553	Et mesire Yvain se redrece a tot le tronçon 	Et messire yuain sadrece o tout le troncon 	Et mesire ywainz sadrece a tout le tronchon 	Et mensieur yuain se redreche atout le tronchen 	et messires .y. relieue atot le tronson 		E monsignor Yvano si drizza con tutto el troncone 
1554|1555|1556|1557	qui demi i li est el costé; |si trait l’espee |et s’apareille d’assaillir le chevalier |qui le meillor cop li a doné 	quil a si trait lespee et sapareille dassaillir le cheualier |qui luy a donne le meilleur cop. 	que il auoit el coste. |et sapareille de se“ desfendre et del cheualier assaillir |qui le meillor cop li auoit donne 	quil auoit parmi lespaulle si traict lespee |et se appareille de assaillir le cheualier/ 	qui li estoit remes el cors.|Si trait lespee et sapareil del cheualier asaillir |qui le milor cop li a done 		che mbatuto gli s’è nel costato, |si trae immantanente la spada |e s’aparecchia d’asalire el cavaliere |che l maggior colpo gli à donato 
1558|1559	qu’il receust pieça mes; |et il le cuide tot prest trover de deffendre, 	quil receust pieca. |Et il cuide trouuer celuy tout prest de deffendre. 	quil eust piecha recheu.|Si le quida trouuer prest de se: desfendre. 	et il uoit	quil reseust piesa mais. |et il cuide celui trouer tout pres de desfandre. 		che ricevesse peza mai. |Si crede colui trovare tutto presto di sé difendere, 
1560|1561	si voit|qu’il ne se remue, 	si uoit |quil ne se remue. 	si voit |quil ne se remue. 	quil ne se remue 	Si uoit |quil ne se remue 		si vede |che non s’è rimutato, 
1562	et lors li cort sus 	et lors luy court sus 	si cort apres lui 	lors lui court sus 	et lors li cort sus. 		si gli corre suso 
1563|1564|1565	et li esrache le hialme de la teste |et dist |qu’il li coupera le chief sans arest, 	si luy arache le heaume de la teste. |et dit |quil luy coupera le chief sans arrester. 	et li esrache le heaume de la teste |et li dist |quil locirra 	et luy arrache le heaulme de la teste |et dist |quil luy couppera 	et li errage le hiaume de la teste et dit |quil li copera le chief sans arest. 	e don yban desçendio porle cortar la cabeza 	e gli arappa l’elmo della testa |e dice |che gli trincherà il capo sanza aresto, 
1566|1567	s’il ne se tient por outré. |Et cil parole a grant paine com cil 	sil ne se tient pour outre. |Et cil parle a moult grant peine 	sil ne se tient pour outre. |Et cil parole a moult grant paine 	sil ne se rent. |Et celluy 	ce il ne se tient por outre. |et ciz parole a grant painne 	mas el le Rogo 	se non si rende; |e que parla a gran pena, 
1568|1569	qui molt estoit bleciés, |si crie merci et dist: « 	qui moult estoit blecie. |Si crie mercy. 	quar moult estoit blechies. |Si crie merci 	qui estoit blechie luy crie mercy en disant. 	car mout iert bleciez. |Si li crie merci. 	quele perdonase 	che molto era brisciato, |si grida mercé e disse: 
1570	Ha, frans chevaliers, ne m’ocie mie, 	haa franc cheualier ne moccis pas. 	et li dist pour dieu frans cheualiers ne mochies mie 	Haa franc cheualier ne me occhis pas 	et dit ha; frans. cheualiers ne moci mie. 		eAl, franco cavaliere, non mi uccidere mica, 
1571|1572	mais laisse moi vivre|tant que j’aie mon Salveor receu, 	mais laisse moy uiure |iucqua ce que iaye receu mon 	ains me laissiez viure |sil vous plaist |tant que iou aie rechut mon salueor 	ains me lesse uiure |sil te plait tant |que iaie mon sauueur recheu 	mais Laisse moi uiure tant que Iaie mon sauueor receu 	y que faria todo su mandado 	ma lasciame vivere |Esr tanto |ch’io abbia Mio Salvatore ricevuto, 
1573	kar je sai bien 	car ie scay bien	Car iou sai bien 	car ie scay bien 	car le sai bien 		ch’io so bene 
1574|1575|1576	que je sui navrés a mort; |si vos pri por Dieu |que vos alés	que ie suys naure a mort. |si te pry pour dieu |que tu aillez 	que iou sui naures a mort. |Si vous pri pour dieu |que vous fachies por moi	que ie suys naure a mort/ |si te prie 	que ie sui naurez a mort |Ci te pri|por dieu 	y don yban lo dexo 	ch’io son fedito a morte;|si vo priego, per Dio, |che voi andiate qui presso, in su questo poggio. 
1577|1578	ci pres desus cest tertre querre un saint home mire |qui i maint, 	cy pris dessus ce tertre querre ung saint hermite |qui y maint. 	tant que vous aillies por moi querre. j. saint homme |qui est prestres et hermites. 	que tu uoises cy pres dessus ce tertre querir ung homme prestre hermite 	que tu ailles ci pres desous cel tertre. |por .i. saint home |qui i est. 	y el Cauallero selo agradesçio mucho 	a chiedere uno santo huomo medico |che vi conversa,
1579|1580	et li taites avec lui aporter a corpus Domini. |Et il dist 	et luy fays aporter corpus dm̃. |et il dit 	et li dites |quil aporte aueques lui corpus domini |Et il dist 		et li fai auec lui aporter corpus.|et il uit 	y dio luego el gauilan ala donzella 	e gli fate recare el Corpus Domini»; |Jled |e dice 
1581	que si fera il volentiers; 	que|si fera il moult uoulentiers 	que chou fera il moult volentiers. 		que si fera il mout uolentiers. 		che ciò farà elli volentieri. 
1582|1583|1584	si commande la damoisele |qu’ele s’en aut |et ele le fet. 	si commande a la damoiselle |quelle sen aille |et elle le fait. 	puis commande a la damoisele |quele sen aille |et elle si fist. 	si luy dictes	Si comande la damoisele |que sen aut. |et ele si fait. 	y ella se fue muy alegre conel 	Allor comanda alla damigella |ch’ella se ne vada, |ed ella si fa, 
1585|1586	Mais ele fet assés greignor duel|que devant, 	mais elle fait assez plus grant deul que deuant. 	mais elle fist greignor doel. |que elle nauoit set par deuant. 	quil apporte 	mais ele fait ore asses grignor duel |que deuant. 	y don yban se fue ensu demanda 	ma ella fa assai maggior duolo |che davanti, 
1587|1588	kar ele voit. I. chevalier ocis et I. autre navré,|et por si petit d’acheisona, 	car elle uoit ores ung cheualier occis et lautre naure.|et pour si peu de chose comme pour ung oisel. 	Car par li estoit vns cheualiers ocis. et vns autres naures |pour si poi de chose |com pour. j. oisel. 	auec luy le corpus domini. 	Car ele uoit ore .i. cheualier ocis:|et lautre naure |por si pou de chose. 	y agora dexa aqui el Cuento de fablar del y delos otros caualleros 	ch’ella vede uno cavaliere morto e l’altro fedito, |e per si poco di cagione come per uno ucello. 
1589|1590|1591|1592|1593|1594|1595|1596	Et mesire Vvain vet querre l’ermite, |ensi|com Ii chevaliers li ot dit, |et li amaine. |Et quant il fu revenus arrieres, |si trueve iluec.I. escuier et une damoisele |qui estoit amie al chevalier |et faisoit le greignor duel del monde. 	Et messire yuain uait querre lermite |et luy amaine sicomme le cheualier luy a dit. |Et quant il fu uenu |si trouuerent ilec ung escuier et une damoisele |qui estoit amye au cheualier |et faisoit le plus grant deul du monde. 	Et mesire ywains vait querre. j. hermite.|si com li cheualiers li auoit commande. |Et vne damoisele |qui estoit amie au cheualier faisoit le plus grant doel sdell monde entre li et. j. escuier. 	Et monsieur y. sen ua querir lermite/ |et quant il fut reuenu il treuue ung escuyer et une damoiselle |qui estoit amye au cheualier/ |qui faisoit le gregneur deul du mende 	compor un oisel et messires .y. uait querre lermitte. |ainsi comli cheualiers li ot dit et li amainne. |et quant il fu reuenus ariere |si trueue un escier et une damoisele |qui estoit amie au cheualier |et faisoit le plus grant duel del monde. 	que yban enla demanda de don lanzarote |y torna a Contar del |como lo tenia la donzella vieja a guaresçer	E monsignor Yvano si mette nel sentieri del poggio, |si va a chiedere il romito, |e quand’e' fu rivenuto adietro, |si trovò nel luogo uno scudieri e una damigella |ch’era amica del cavalieri |e faceva el maggior duolo del mondo. 
1597	Et quant li chevaliers fu confés 	Et quant le cheualier fu confes 	Et quant li cheualiers fu confes 	Et quant le cheualier fut cenfesse 	et quant li cheualiers fus confes 		E quando el cavaliere fu confesso 
1598|1599	et il ot receu son Salveor, |si le coucha l’en en la loge. 	et il eut receu son sauueur |si le coucha len en la loge. 	et il ot receu son salueor |si le couchent en la loge. 	len le mist en sa loge/ 	et il ot son sauueor receut : |si li coucha len en la loge.		ed ebbe ricevuto Suo Salvadore, |si l coricò l’uomo nella loggia. 
1600|1601	Et mesire Yvain s’en vet avec l'ermite |et enmaine son cheval en destre, 	et messire yuain sen ua auec lermite. |et emmaine son destrier par les resnes.	Et mesire ywain sen uait auec lermite. |et enmaine son cheual en destre 	et mensieur yuain sen ua |auec lermite tout a pie/	et messires .y. sen reua auec lermitte |et en mainne son destrier en destre. 		E monsignor Yvano se ne va col romito e mena su cavallo in destra, 
1602	kar a cheval n’i alast il mie delés si haut saintuaire 	Car a cheual nalast il mie aupres dung si hault saintuaire 	Car il ne voloit mie deles si grant seignor 	car a cheual ne allast il pas de les si hault homme ne empres si hault sainctuaire 	car a cheual nalast il mie deles si haut saintuaire		ch’a cavallo non andasse elli mica dallato
1603	comme Nostre Salveor. 	comme nostre sauueur. 	com est nostre sires cheualchier. 	comment nostre sauueur. 	comme nostre sauueor ne uoloit il mie aler a cheual. 		si santo santuare come Nostro Salvatore. 
1604	Quant il furent venu a l'ermitage 	Quant il fu uenu a lermitage 	Et quant il furent uenu a lermitage 	Quant il furent uenus a lermitage 	Et quant il furent uenu en lermitage 		eE quando e furono venuti al romitaggio 
1605	que l’en apeloit lermitage del Mont, 	que len appelloit lermitage du mont 	con apeloit lermitage del mont. 	que len apelloit lermitage du ment 	que len apeloit lermitage del mout. 		che-ll’uomo chiamava el romitaggio dal Monte, 
1606|1607	si desarment troi frere |qui laiens estoient mon seignor yvain, 	si desarmerent messire yuain troys freres 	Si desarmerent monseignor ywain. iij. frere 	si desarment mensieur yuain .iii. des freres de leans/ 	Si desarmeret troi frere |qui laiens estoient mon signor .y. 		si disarmarono tre frati, |che là entro erano, monsignor Yvano; 
1608	et il en i avoit un 	qui y estoient et il y en auoit ung 		et il y en auoit ung 	et il en i auoit .i. 		si ve n’avea uno 
1609|1610	qui molt savoit de plaies garir; |si s’entremist de mon seignor Yvain 	qui moult sauoit de guerir playes si sentremist de messire yuain 	qui laiens estoient 		qui mout sauoit de plaies garir. |Si sentremist de monsignor .y. 		che molto sapeva di piaghe guarire: |que s’intramise di monsignor Yvano 
1611|1612	et s’en prist garde erraument |et il osta le tronçon 	et sen prent garde. |et luy osta le troncon 	et prisent garde de lui. 		et sen prist garde errantment. |et li osta lo tronson		e si prese guardia di lui molto agentemente, |e gli trasse el troncone 
1613|1614	qu’il avoit el costé |et s'estancha a sainier; 	qu il auoit ou couste |et lestancha de seigner. 		qui asses sauoit de playes guerir/ 			ch’elli avea dallato nel costato |e lo stancò di sanguinare; 
1615|1616	et de cele » plaie demora mesire Yvain XV. |jors laiens, 	Et pour celle playe demoura leans messire yuain .xx. iours 	Et pour sa plaie demora mesire ywainz laiens. XV. iors 	si sentremist de messire yuain le quel demoura .xu. iours leans 	quil auoit el costel et lestanch de sainnier. et de cele plaie iut laiens messires .y. .xu. iors malades. 		'e di quella piaga dimorò monsignor Yvano xV. |giorni là entro 
1617|1618	ains qu’il peust aaisiement chevalchier. |Si se taist ore atant li contes de lui 	auant quil peust aiseement cheuaucher. |Mais ores se taist le comte de luy 	ains |quil peust cheualchier. |Mais atant se taist ore li contes a parler de lui 	aincois quil peul cheuaucher. |Mes a tant se taict ores le compte de luy/ 	ains quil peust cheuauchier. si ce taist li contes ore a parler de lui. 		inanzi che potesse agiatamente cavalcare.|Si si tace ora atanto il conto di lui 
