	micha-ii-48	fr751-ii-48	fr111-ii-48	inc-ii-48	sommer--ii-48	lanzarote-ii-48	lancellotto-ii-48
1603|1604|1605|1606|1607|1608|1609|1610|1611|1612|1613|1614|1615|1616	— |En non Diex, |fet ele, |je le vos enseigneroie bien, |se je voloie. |— |Dites le moi, |fet il, |par covent |que je soie vostre chevaliers el premier lieu |ou vos me requerrois. |— |Se vos me creantés, |fet ele, 	En nodieu fait ele |ie le uos ensangneroie bien ce ie uoloie. |Dites le moi fut il par couent |que ie soie uostres cheualiers el premier lieu |ou ie buos trouerai. |Se uous me uoles creanter 	Certes fait elle |ie le uous enseigneroye bien |si ie uouloye. |Dictez le moy fait il par conuent |que ie soye uostre cheualier ou premier lieu |que uous me requerrez. |Se uous me creancez fait elle 	Eu nom dieu fait elle se ie uoulloie ie uous lenseigneroie bien dictes |le moy fait il par tel conuenant |que ie soie uostre cheualier au premier lieu |que uous me requerres/ |se uous me promettes |que au pre/ mier lieu 	qui porte vnes armes uermeilles. |Enon dieu fait elle iou |le vous enseigneroie bien se iou voloie. |Dites le moi fait il par tel couuent |que iou soie vos cheualiers el premier lieu ou vous me requerres. |Se vous me creantes fait elle 	Por dios dixo ella |yo voslo enseñare bien |si quisiere |dezidme dixo lançarote |Por tal conuenençia |que yo sea vuestro cauallero enel |Primer lugar que me rrequerades |Si vosme jurades dixo la donçella 	—Al nome di Dio, diss’ella, |il voi insegnerei bene, |s’i' volesse. |— Ditelme, |disse Lancellotto, |per convento che sia vostro cavaliere nel primaio luogo che vo me ne richiederete. |—?Se vo' mi giurate, |disse la vecchia, 
1617|1618	que vos me sievrois |de quel hore 	que uos me siere |de quel hore	que uous me suyurez a quelque heure 	ou ie uous requesray uous me aideres 	que vous me sieurres el premier lieu 	que vayades conmigo |luego enla ora 	che vo'mi seguirete di qualche ora 
1619|1620	que vos en semoigne, |je le vos enseignerai. »	que ie uus en semongne ; |ie le uos en sangnerai. 	que ie uous semondray. |ie le uous enseigneray. 	ie uous lenseigneray/ 	ou iou vous en semondrai. |iou le vous enseignerai. 	que vos llamare |yo voslo mostrare 	ch’i vo ne riglia, |io il vo insegnerò». 
1621|1622|1623|1624|1625	Et cil li creante, |dont il se repenti puis molt durement tel hore fu. « |Or alés, |fet ele, |tot cest chemin», 	et il li creante. |dont il se repanti |puis mout durement tel hore fu. |Or uos en alez fait ele par ci 	Et il luy creance. |dont il se repenty puis moult fort. |Se allez fait elle tout ce chenin. 	et il luy promet/ denc depuys sen repentist/ |Or alles fait elle tout ce chemyn en trauers de la forest 	Et il li creante maintenant : |dont il fu puis corocies |et moult se repenti tele heure fu. |Ore ales fait elle tout chest chemin 	e lanzarote lo juro |luego donde el se arrepintio despues muy duramente tal ora fue Vos yredes |poreste camino dixo la donzella 	Ed e' lel giura immantanente, |donde si penté |poscia duramente tale ora fu. |“Or andate, diss’ella, |tutto questo camino», 
1626|1627|1628|1629|1630|1631|1632	si li mostre I. sentier estroit |qui aloit al travers de la forest. « |Si ne tornés, |fet ele, |de nule part |et quant vos avrois alé entor demie lieue, |si verrois delés I. vivier trois paveillons tendus. 	si li mostre .i. estroit santier |qui aloit outre uers de la forest. |Si ne tornez de nule part. |et quant uos aures ale entor demie lieue : |si uerres delez .i. uanier aux pauillons tandus. 	si luy monstre ung sentier moult estroit |qui aloit a trauers de la fourest. |et luy dist |quil ne tourne ca ne la. |Et quent uous serez fait elle alle entour demye lieue si uerrez de la ung mont quatre paueillons tenduz. 	sans tourner de nulle part. |Quant uous aures cheuauche enuiron demye lieue |si uerres de les une riuiere trois pauillons 	si li moustre. j. sentier estroit |qui aloit dentrauers la forest. |si ne tornes nulle part. |Et quant vous aures erre demie lieue. |si troueres. iiij. pauellons sor. j. uiuier tendus. 	fasta que falledes vn sendero atrauieso dela floresta |e entonçe tomaredes aquel sendero |e desque hubieredes porel andado |quanto vna legua fallaredes |antevn nogal tres tiendas Armadas 	si gli mostra uno sentieri stretto |ch’andava in traverso della foresta, |«sì non vi volgete, diss’ella, |i'nulla |parte,Se quando voi arete andato intorno a meza lega, |si vedrete dallato uno vivaio intorniati quatro padiglioni tenduti: 
1633	La dedens troverois le chevalier 	La dedens troueres le cheualier 	La dedans trouuerez le cheualier 	la dedens trouueres le cheualier 	et la dedens troueres le cheualier 	e enla vna dellas fallaredes el Cauallero 	di dentro troverete il cavaliere 
1634	que vos querés 	que uos queres 	que uous querez 	que uous demandes 	que vous queres 	que buscades 	che vo' chiedete, 
1635|1636|1637|1638|1639	que l’en apele Arramant le Gros; |si le conoistrois a ces enseignes |qu’il a en mi le front II. plaies. |Or vos en poés aler, |mais que vos m’aiés dit vostre nom. » 	que len apele arramant le gros. |Si le quenoistres a ses ansangnes |quil a el fronc .ii. plaieez. |Or uos en poez aler mais que uos mauez dit uostre non. 	que len appelle arramant le grec. |si le cognoistrez a ces enseignes |quil a deux playes enmy le front. |Se uous en pouez aller |mais |que uous mayez dit uostre nom. 	et len lappelle arrement le gras et le cengnoistres a telles enseignes |quil ha deux playes au frent/ or uous en poues aller |mes que mayes dist uostre nen/ 	que on apele atramant le gros. |si le connistres a ces enseignes |quil a en mi le front. ij. plaies. |Or vous en poes aler fait elle |mais que vous me dites vostre non. 	aque llaman aramante el grueso |e vos lo conoçeredes porestas señales en medio dela frente |ados llagas agora vos podedes yr |mas anteme deçid |como auedes nombre 	che l’uomo chiama Aramonte il Grosso, |si 'l conoscerete a queste insegne, |ch’egli à nel miluogo del viso due colpi. |Or vo ne potete andare, |ma' che vo' m’abiate detto vostro nome». 
1640|1641|1642|1643|1644|1645|1646|1647|1648	Et il se nome molt a envis |et totes voies li dist |qu’il a non Lancelot del Lac. « |Alez a Dieu », |fet ele. |Atant s’en part et s’en vet tot le chemin |qu’ele li avoit enseigné, |si grant aleure |com il plus puet del cheval traire, 	et il se nome mout a enuiz |et totesuoiez dit il quil a non lanc̃ del lac. |si sen part atant. |et sen ua tout le chemin |que cele li auoit ensangnie. |Si grant aleure |comme il puet del cheual traire. 	Et il se nomme a moult grant peine. |Et toutesuoyes luy dit il |quil a nom lancelot du lac. |Et il sem part a tant |et sen uait tout le chemin |quelle luy auoit enseigne si grant aleure 	et il se nomme monlt enuiz |et dist quil a a nen lancelot du lac. |A tant sen ua lancelot tout le chemyn quelle luy a enseigne/ |tant quil attaint le 	Et il se nomme moult a enuis. |mais toutes voies li dist |il quil a a non lancelot del lac. |A tant sen uait lancelot tout le chemin |que elle li ot enseignie. |si grant aleure |comme il puet del cheual traire. 	e el se nombro mucho amidos |e dixo |yo he nombre Lançarote del lago |Lançarote se partio luego dela donçella |e fuese Porel camino |que ella hauia mostrado |e yua tan apriesa |quanto el cauallo podia andar 	Ed e' si noma molto ad invidia, |e tuttavia le diss’elli |ch’egli à nome Lancellotto di Lac. |Atanto si parte dalla vecchia |e se ne va tutto suo camino |ch’ella l’avea insegnato, |sì grande andatura |come può del cavallo trarre, 
1649|1650	tant que il atainst les chevaliers |que il sievoit. 	Et tantost ataint les cheualiers |que il suoit. 	tant quil ataint les cheualiers |qu il suyuoit. 	cheualiee 	tant quil ataint lez cheualiers as quil sieuoit. 	e andubo asi fasta que alcanço los caualleros depos quien yba 	e tanto ch’elli agiugne il cavaliere |ch’elli seguia. 
1651	Et cil lor i escrie si haut 	et il les escrie si haut 	Et il leur escrie si hault 	si luy escrie si hault 	si lor escrie si haut 	e el les començo a dar vozes de 	
1652|1653|1654|1655|1656	que bien porent oîr, |et maintenant li vient acorant li uns d’eus, |l’escu al col, |le lance el poing, |et fu armés de totes armes. 	que bien le pueent entandre |et maintenant li uient acorant li uns daus lescu au col la lance el poing. |et fu armes de toutes armes. 	que bien le peurent ouyr |Et adonc luy uient courant lun deulx lescu au coul la lance ou poing. |et fu arme de toutes armes 	que bien le peult ouir maintenant luy uient a lencontre lun de lautre lescu au col la lance au poing armes de toutes pieces/ |et lancelot le fiert si durement 	que tout le porent bien oir. |Et maintenant li vint a lencontre |li vns daus a cheual lescu au col la lance el poing |et fu bien armes de toutes armes. 	quanto vido que le podian oyr |e luego vino contrael vno delos caualleros el escudo al cuello |e la lança enla mano armado de todas armas 	donde loro piaga gran colpi là 
1657	Et Lancelos le fiert 	et lanc̃ le fiert 	Et lancelot le fiert 		Et lancelot le fiert si durement. 	e lançarote lo yryo asi tan duramente 	
1658|1659	si que pour le hauberc ne remaint |qu’il ne li met par mi le cors le fer del glaive 	si que por le haubert ne remaint: |que il ne li meste parmi le cors et le fer et la glauie. 	si que pour le haubert ne demeure |quil ne luy mecte le fer du glayue parmy le corps. 	quil luy met le fer du glaiue parmy le coprs 	que por le hauberc ne remaint il mie |quil ne li mete parmi le cors le fer del glaiue. 	que porel escudo ni porla loriga no finco |quele no metiese la lança pormedio del cuerpo 	
1660|1661	si l’empaint bien |com cil 	Si lenpant bien comme cil 	Il lempanit bien comme cil 	si le porte a terre/ 	si lempaint bien comme cil 	e dio conel gran cayda en tierra 	
1662|1663	qui assés ot et cuer et force: |si le porte del cheval a terre 	qui auoit assez cuer et force |Si le porte a terre. 	qui auoit assez cuer et force |si le porte du cheual a terre 		qui ot asses cuer et force. |si le porte del cheual a terre. 	Como aquel que hera de Gran fuerça 	
1664|1665	et retrait son glaive a lui; |si voit I. autre venir tot appareillié de joster 	et retrait son glaiue a lui. |Si uoit un autre uenir a lui tout aparillie de ioster. 	et retraict son glaiue a luy |Si uoit ueniir ung autre tout appareille de iouster. 	et uoit ung aultre uenir tout prest de iouster 	puis traist son glaiue a soi. |si en reuoit vn autre venir tout apreste de iouster. 	e Luego vino otro contrael aparejado de Justar 	
1666|1667	et il nel refuse pas, |ains li torne le chief del cheval, 	et il nel refuse pas. |ains li torne le chief del cheual. 	et il ne li refuse pas |ains luy tourne le chief du cheual. 	et il ne le reffuse pas/ et celuy 	et il li torne le cheual. 	e lançarote no Rehuso ante boluio la Cabeza del cauallo alla do lo vyo venir 	
1668	et cil qui vint acorant li done tel cop en l’escu 	et cil qui uint acorant li done tel cop sor lescu 	et cil qui uient courant luy donne tel cop sur lescu 	qui uient accourant luy donne tel coup sur son escu 	et cil qui uenoit acorant li donne tel cop sor son escu 	e el cauallero lo firio 	
1669|1670|1671|1672|1673	que tote sa lance vole en pieces. |Et Lancelos, |qui un poi porta sa lance bas. |l'ataint par desus l’arcon de la sele, |si le fiert si	que la lance uole tote en pieces. et lanc̃. |qui tuit sa lance .i. pou bas le fiert par desus larson de la sele. |Et le fiert 	que toute sa lance uole en pieces |Et lancelot |qui ung pou porta sa lance bas lactant par dessus larcon de la sele |si le fiert 	que sa lance uolle en pieces. |et lancelot porte la sienne ung pou plus bas |si la actaint |et le fiert si durement 	que sa lance vole em pieces. |Et il aporte la soie j. poi plus bas |si le fiert si durement 	ansi que su lança le quebro |En medio del escudo |e lançarote lo hirio |ansi vn poco baxo asi ençima del arçon dela silla 	ov'elli l’agiungono, 
1674	que les mailes del hauberc ne pueent soffrir le grant cop 	si que les maillez de haubert ne pue en soufrir le grant cop. 	si que les mailles du haubert ne peuent souffrir le grant coup. 	que les mailles du haubers ne peurent le coup souffrir 	que lez mailles del hauberc ne porent soffrir le cop. 	asi quela loriga no lo pudo defender |quela lança 	
1675|1676	que li glaives ne li voist par mi le cors |si que li fers pert d’autre part; 	et li glaiuez li pert de lautre part. 	Et le glayue luy ua parmy oultre le corps. |si que le fer pert de lautre part. 	que le glaiue ne lui uoit parmi le corps 	que li glaiues ne li voist parmi le cors. |si quil pert de lautre part. 	no le metiese pormedio del cuerpo |asi que la Lança paresçio dela otra parte 	
1677|1678	si l’empainst si durement |qu’il le porte a terre et lui et le cheval. 	et il len paine si durement |que il porte et lui et le cheual ensanble a terre. 	et il lempaint si fort |quil porte a terre luy et le cheual ensemble. 	si quil porte luy et le cheual a terre. 	Et il lempaint si durement |quil porte lui et le cheual a terre tout en. j. mont. 	e Dio conel e conel Cauallo envno en tierra 	
1679|1680	Et lors dient cil |qui devant s’en aloient 	Et lors dient cil |qui deuant sen aloret 	Et lors dient ceulx |qui deuant sen aloient 	Et lors dient ceulx |qui deuant sen alloient 	Lors dient cil |qui deuant sen uont 	Mucho se Marauillaron los otros Caualleros desto |e dixeron 	ené unque per podere 
1681|1682|1683|1684	que molt joste bien li chevaliers, |quant. Il. de lor meillors compaignons a ensi abatus. |Et Lancelos laisse corre a els tos |qui encore estoient nuef; 	que mout ioste bel li chrł |que deus de nos mallors cheualiers a abatus. |et lanc̃ lait corre a aus |qui encor estoient .ix. 	que moult iouste bien le cheualier |qui a ainsi abatu deux de leurs compaignons. |Et lancelot laisse courre es autres |qui estoient encor neuf 	que monlt iouste bien le cheualier. |Quant lancelot eust rompu sa lance 	que bien iouste li cheualiers |qui. ij . de lor compaignons a abatus. |Et lancelot laisse corre a |aus tous quencore estoient. xij. 	que mucho Justaua bien el Cauallero |Que dos delos mejores Conpañeros auia derribado e lanzarote se lanço entonçe entre ellos |que heran veinte 	
1685|1686|1687	si ot l’espee traite, |por ce que ses glaives estoit brisiés al chevalier |qu’il ot derrainement abatu ; 	Si trait lespee |que ses glaiues estoit abatus et brisiez au daurien cheualier. 	si eut lespee traicte |par ce que son glayue estoit brise au cheualier |quil auoit dernierement abatu 	il mest la maina lespee |et lesse courre uers les aultres |qui estoient uingt. 	Si trait lespee |quar ses glaiues iert brisies au cheualier |quil auoit daarrainement abatu. 	e el conla espada enla mano |que la lança hera quebrada 	
1688|1689|1690	si lor detrenche lor escus|et lor depiece lor hialmes |et lor ront les haubers sor les bras et sor les espaules; 	Si lor detranche lor hiaumes et lor uont Lor haubers sor. |Les bras et sor les espaulez. 	si leur detranche les escuz |et leur depiece leurs heaumes. |et leur derompt les haubers sur les braz et sur les espaules 	si leur despiece escus |et detrenche leurs heaulmes/ 	Si lor detrence escus et lor pechoie heaumes. |et derront haubers. 	e començo a derribar escudos |e a cortar yelmos |e lorigas ençima de braços e de espaldas 	
1691	si fet tant par sa proesce 	Si fait tant par sa proesce 	Si fait tant par sa prouesce 	et fist tant par sa proesse 	si fait tant par sa proece 	asi que tanto hizo Porsu proeza 	
1692|1693	que tuit cil |qui le voient s’en merveillent. 	que tuit cil |qui le uoient sen esmaient et merueillent 	que tous ceulx |qui le uoyent sen merueillent. 	que tous ceulx qni le uoient en sont esmerueillies. 	que tuit cil |qui Ie voient sen esmerueillent. 	que quantos lo vian se marauillauan ende mucho 	
