micha-ii-48	fr751-ii-48	sommer--ii-48	fr111-ii-48	inc-ii-48	lanzarote-ii-48	lancellotto-ii-48
kar il s’estoient ja ferus en la forest Et totes voies sieut il les esclos des chevals tant que il vient a l’entree de la forest;	Car il cestoient ia feru en la forest et totesuoiez sieut il les escloz des cheuaus tant que il uient en lentree	quar il sestoient ia feru en la forest Et toutes voies sieut il lez esclos dez cheuaus tant quil est uenus a lentree de la ; forest	car ilz sestoient ia feruz en la foueest a touteuoyes suyt il les escloz Des cheuaux tant quil uient a lentree	et suyst les pas des cheuaulx tant quil uint a lentree de la forest	e fue entonçe porende muy triste	E nonperquanto tuttavia segue elli li scrosci de' cavalli tanto ch’egli è venuto all’entrata della foresta
et lors encontre une damoisele tote chenue qui chevalchoit molt cointement et estoit tote deslie ses treces par ses espaules comme pucele et avoit en son chief l chapel de roses kar c’estoit entor la Saint Johan Il le salue et ele li dist	et lors encontre une dame tote chenuee qui cheuauchyt mout coitement et ert tote desliie ses tresces par ses espaules comme pucele et auoit en son chief un chapelat de rosez Car cestoit Entor la feste saint iehen Il la salue et ele li dist	Et lors encontra vne damoisele toute kenue qui cheualchoit moult noblement et auoit sez treches toutes desloies par sez espaulles comme pucele Et auoit en son chief chapel de roses quar ce estoit entor la saint iehan : Il le salue maintenant quil la uit Et elle dist	Et lors encontra une dame toute chenue qui cheuauchoit moult cointement et estoit toute desliee les treces sur les espaules comme pucelle et auoit en son chef ung chapel de soucique car cestoit entour la saint iehan Il la salue et elle luy dist	et lors encentra une damoiselle toute chanue qui cheuauchoit menlt coinctement toute descheuelee ses tresches entre ses espaulles comment une pucelle et auoit sur son chief ung chapiau de roses il la sallue et elle luy dist	entonçe encontro vna donçella envn muy fermoso palafren que hera toda cana e lleuaua los cauellos tendidos porlas espaldas como si fuese muy moça e traia vn capillejo de Rosas enla cabeça Ca hera entonçe por sant juan e lançarote lo saluo	Allora incontrò elli una dama tutta canuta che cavalcava molto contamente suo capelli isparti per sue spalle com’una pulcella e avea in suo capo uno capello di rose ché ciò era intorno il Santo Giovanni Elli saluta ed ella gli dice
que bone aventure li doinst Diex Damoisele fet il me savriés vos a dire quel part uns chevaliers o unes armes vermeilles s’en vet — En non Diex	que bone auauture li doint diex Dame fait lanc̃ me saurrez uos adire quel part uns cheualiers a unes armes uermeilles sen ua	que diex li donnast boine auenture Damsolisele fait sil me sauries vous enseignier quel part vns cheualiers sen uait	que bonne auanture luy doint dieu damoisele fait il me scauriez uous a dire quelle part sen ua ung cheualier a unes armes uermeilles Certes fait elle ie le uous enseigneroye bien	que bonne aduanture luy dennast dieu damoiselle fait il aues uous point ueu passer par cy ung cheualier a unes armes uermeilles Eu nom dieu fait elle se ie uoulloie ie uous lenseigneroie bien dictes le moy fait il par tel conuenant que ie soie uostre cheualier au premier lieu	e ella lo torno sus saludes Donçella dixo lançarote saberme yades enseñar por do va vn Cauallero devnas armas bermejas	che buona aventura gli doni lddio Dama disse Lancellotto mi sapreste vo' dire in quale parti uno cavaliere a une armi vermiglie se ne va
fet ele je le vos enseigneroie bien se je voloie — Dites le moi fet il par covent que je soie vostre chevaliers el premier lieu ou vos me requerrois — Se vos me creantés fet ele	En nodieu fait ele ie le uos ensangneroie bien ce ie uoloie Dites le moi fut il par couent que ie soie uostres cheualiers el premier lieu ou ie buos trouerai Se uous me uoles creanter	qui porte vnes armes uermeilles Enon dieu fait elle iou le vous enseigneroie bien se iou voloie Dites le moi fait il par tel couuent que iou soie vos cheualiers el premier lieu ou vous me requerres Se vous me creantes fait elle	si ie uouloye Dictez le moy fait il par conuent que ie soye uostre cheualier ou premier lieu que uous me requerrez Se uous me creancez fait elle	que uous me requerres se uous me promettes que au pre mier lieu ou ie uous requesray uous me aideres ie uous lenseigneray	Por dios dixo ella yo voslo enseñare bien si quisiere dezidme dixo lançarote Por tal conuenençia que yo sea vuestro cauallero enel Primer lugar que me rrequerades Si vosme jurades dixo la donçella	—Al nome di Dio diss’ella il voi insegnerei bene s’i' volesse — Ditelme disse Lancellotto per convento che sia vostro cavaliere nel primaio luogo che vo me ne richiederete —
que vos me sievrois de quel hore	que uos me siere de quel hore	que vous me sieurres el premier lieu ou iou vous en semondrai	que uous me suyurez a quelque heure		que vayades conmigo luego enla ora	Se vo' mi giurate disse la vecchia
que vos en semoigne je le vos enseignerai	que ie uus en semongne ; ie le uos en sangnerai	iou le vous enseignerai	que ie uous semondray ie le uous enseigneray		que vos llamare yo voslo mostrare	che vo'mi seguirete di qualche ora ch’i vo ne riglia io il vo insegnerò
Et cil li creante dont il se repenti puis molt durement tel hore fu Or alés fet ele tot cest chemin	et il li creante dont il se repanti puis mout durement tel hore fu Or uos en alez fait ele par ci	Et il li creante maintenant : dont il fu puis corocies et moult se repenti tele heure fu Ore ales fait elle tout chest chemin	Et il luy creance dont il se repenty puis moult fort Se allez fait elle tout ce chenin		e lanzarote lo juro luego donde el se arrepintio despues muy duramente tal ora fue Vos yredes poreste camino dixo la donzella	Ed e' lel giura immantanente donde si penté poscia duramente tale ora fu “Or andate diss’ella tutto questo camino
si li mostre I sentier estroit qui aloit al travers de la forest Si ne tornés fet ele	si li mostre i estroit santier qui aloit outre uers de la forest Si ne tornez de nule part	si li moustre j sentier estroit qui aloit dentrauers la forest si ne tornes nulle part	si luy monstre ung sentier moult estroit qui aloit a trauers de la fourest et luy dist quil ne tourne ca ne la	et il luy promet denc depuys sen repentist Or alles fait elle tout ce chemyn en trauers de la forest sans tourner de nulle part	fasta que falledes vn sendero atrauieso dela floresta e entonçe tomaredes aquel sendero	si gli mostra uno sentieri stretto ch’andava in traverso della forestasì non vi volgete diss’ella i'nulla parte Se quando voi arete andato intorno a meza lega
de nule part et quant vos avrois alé entor demie lieue	et quant uos aures ale entor demie lieue :	Et quant vous aures erre demie lieue	Et quent uous serez fait elle alle entour demye lieue	Quant uous aures cheuauche enuiron demye lieue	e desque hubieredes porel andado	
si verrois delés I vivier trois paveillons tendus	si uerres delez i uanier aux pauillons tandus	si troueres iiij pauellons sor j uiuier tendus	si uerrez de la ung mont quatre paueillons tenduz	si uerres de les une riuiere trois pauillons la dedens trouueres le cheualier	quanto vna legua fallaredes antevn nogal tres tiendas Armadas	si vedrete dallato uno vivaio intorniati quatro padiglioni tenduti
La dedens troverois le chevalier	La dedens troueres le cheualier	et la dedens troueres le cheualier	La dedans trouuerez le cheualier		e enla vna dellas fallaredes el Cauallero	di dentro troverete il cavaliere
que vos querés que l’en apele Arramant le Gros;	que uos queres que len apele arramant le gros	que vous queres que on apele atramant le gros	que uous querez que len appelle arramant le grec	que uous demandes et len lappelle arrement le gras	que buscades aque llaman aramante el grueso	che vo' chiedete che l’uomo chiama Aramonte il Grosso
si le conoistrois a ces enseignes qu’il a en mi le front II plaies	Si le quenoistres a ses ansangnes quil a el fronc ii plaieez	si le connistres a ces enseignes quil a en mi le front ij plaies	si le cognoistrez a ces enseignes quil a deux playes enmy le front	et le cengnoistres a telles enseignes quil ha deux playes au frent or uous en poues aller mes	e vos lo conoçeredes porestas señales en medio dela frente ados llagas agora vos podedes yr mas anteme deçid	si 'l conoscerete a queste insegne ch’egli à nel miluogo del viso due colpi
Or vos en poés aler mais que vos m’aiés dit vostre nom Et il se nome molt a envis	Or uos en poez aler mais que uos mauez dit uostre non et il se nome mout a enuiz	Or vous en poes aler fait elle mais que vous me dites vostre non Et il se nomme moult a enuis	Se uous en pouez aller mais que uous mayez dit uostre nom Et il se nomme a moult grant peine	que mayes dist uostre nen et il se nomme monlt enuiz	como auedes nombre e el se nombro mucho amidos	Or vo ne potete andare ma' che vo' m’abiate detto vostro nome Ed e' si noma molto ad invidia
et totes voies li dist qu’il a non Lancelot del Lac Alez a Dieu	et totesuoiez dit il quil a non lanc̃ del lac	mais toutes voies li dist il quil a a non lancelot del lac	Et toutesuoyes luy dit il quil a nom lancelot du lac	et dist quil a a nen lancelot du lac	e dixo yo he nombre Lançarote del lago Lançarote se partio	e tuttavia le diss’elli ch’egli à nome Lancellotto di Lac Atanto
fet ele Atant s’en part	si sen part atant	A tant sen uait lancelot tout le chemin	Et il sem part a tant		luego dela donçella	si parte dalla vecchia
et s’en vet tot le chemin qu’ele li avoit enseigné si grant aleure com il plus puet del cheval traire tant que il atainst les chevaliers que il sievoit Et cil lor i escrie si haut	et sen ua tout le chemin que cele li auoit ensangnie Si grant aleure comme il puet del cheual traire Et tantost ataint les cheualiers que il suoit et il les escrie si haut	que elle li ot enseignie si grant aleure comme il puet del cheual traire tant quil ataint lez cheualiers as quil sieuoit si lor escrie si haut	et sen uait tout le chemin quelle luy auoit enseigne si grant aleure tant quil ataint les cheualiers qu il suyuoit Et il leur escrie si hault	A tant sen ua lancelot tout le chemyn quelle luy a enseigne tant quil attaint le cheualiee si luy escrie si hault	e fuese Porel camino que ella hauia mostrado e yua tan apriesa quanto el cauallo podia andar e andubo asi fasta que alcanço los caualleros depos quien yba e el les començo a dar vozes de quanto vido	e se ne va tutto suo camino ch’ella l’avea insegnato sì grande andatura come può del cavallo trarre e tanto ch’elli agiugne il cavaliere ch’elli seguia donde loro piaga gran colpi là ov'elli l’agiungono ené unque per podere ch’elli abbiano no lli possono torre terra anzi
que bien porent oîr et maintenant li vient acorant li uns d’eus l’escu al col	que bien le pueent entandre et maintenant li uient acorant li uns daus lescu au col la lance el poing	que tout le porent bien oir Et maintenant li vint a lencontre li vns daus a cheual lescu au col la lance el poing	que bien le peurent ouyr Et adonc luy uient courant lun deulx lescu au coul la lance ou poing	que bien le peult ouir maintenant luy uient a lencontre lun de lautre lescu au col la lance au poing armes de toutes pieces	que le podian oyr e luego vino contrael vno delos caualleros el escudo al cuello	si va per me' loro molte fiate qualche grado
le lance el poing et fu armés de totes armes	et fu armes de toutes armes	et fu bien armes de toutes armes	et fu arme de toutes armes		e la lança enla mano armado de todas armas	
Et Lancelos le fiert si que	et lanc̃ le fiert si que por le haubert ne remaint: que il ne li meste parmi le cors	Et lancelot le fiert si durement	Et lancelot le fiert si que	et lancelot le fiert	e lançarote lo yryo asi tan duramente	
pour le hauberc ne remaint qu’il ne li met par mi le cors le fer del glaive si l’empaint bien com cil	et le fer et la glauie Si lenpant bien comme cil	que por le hauberc ne remaint il mie quil ne li mete parmi le cors le fer del glaiue si lempaint bien comme cil	pour le haubert ne demeure quil ne luy mecte le fer du glayue parmy le corps Il lempanit bien comme cil	si durement quil luy met le fer du glaiue parmy le coprs	que porel escudo ni porla loriga no finco quele no metiese la lança pormedio del cuerpo e dio conel gran cayda en tierra Como	
