,micha_iv-75.txt,inc-iv-75.txt,lanzarote-iv-75.txt,sommer_tome_5_iv-75.txt,lancellotto-iv-75.txt
6195,Et il dist,et monseigneur yuain dist,,Et mesire ywains dist,foE monsignor Yvano li disse
6196,que nenil ainz failli celui jour,que nenny|Ains faillit le iour,,que nenil ains failli le ior,che non anzi falli a quel giorno
6197,que Lanceloz,que Lancelot du lac,,que lancelot,che Lancelotto de Lac
6198,et Galehoz li preuz,et gallehault des loingtaines isles,,& Galehols,e Galeotto el signore de lLontan Isole
6199,et Hestor des Mares devindrent compaingnon de la Table Reonde,et hector des mares uindrent a court|qui en furent compaignons,,& l preus hector dez mares devindrent sseal compaignon de la table roonde Cil,e Astore di Mare venero alla corte|e ne furono compagnoni
,,et qui,,,
6200|6201|6202|6203,et s asistrent sanz plaies|por ce qu il n orent pas requis le siege|mais li rois les an avoit proiés|Si mistrent fait mes sire Vvain une autre coustume,si assirent sans playe pour ce quilz ne auoient pas requiz le siege: aincoiz les auoit len requiz dy uenir|mais ilz y amenerent fist monseigneur yuain une autre coustume,,si assistrent sanz plaie auoir|pour ce quil norent pas requis le siege|mais li roys lez en auoit pries|Si y misent vne autre coustume,e vi i asederono sanza piaghe per ciò|che non avieno passo richiesto el segno anzi il segno li richiese|aMa e' v amenavano disse monsignor Yvano un'altra costuma
6204,qui n est pas mains anuieuse,qui y est assez plus enuieuse,,qui nest mie mains anieuse:,ch è assai più invisiosa
,,que celle,,,
6205|6206|6207,que cele devant|que nus ne puet|mais seoir a haute feste s il ne jure sor sainz qu il a conquis chevalier en la semainne par prouesce d armes,que auez comptee|car nul ne y peult seoir aux haultes festes sil ne iure sur ains qu il a conquiz ung cheualier la semeine de deuant par force darmes,,que cele sdel deuant|quar nus ni puet|mais seoir a haute feste Sil ne iure sor sains auant|quil a conquis cheualiers en la semaine pal proece darmes,che quella davanti ché nullo non puote ma sedere a l alte feste se non giura sopra i santi|ch egli à conquisi cavalieri nella settimana per prodeza d armes
,,,,Si mait diex fet li preudoms ceste costume est asses anieuse,
6208|6209|6210,a Assez parlerent cele nuit de la cort|et|tant que mes sire Yvain demanda a l ermite Biaux sire,Assez parlerent ensemble celle nuyt de la court|tant que monseigneur yuain demanda la nuit a lermite,,A ses parlerent cele nuit de la cort|Et|tant que mesire ywains li demande,Alssai parlarono quella notte della corte|tanto che monsignor Yvano domandò al romito
6211,j ai hui veu ci devant en I,,,et dist Sire iai hui ci pres ueu en|j,
6212,val,,,val,
6213|6214|6215|6216,V|pavillons tanduz devant I|arbre ou il pandoit I|escu blanc goté a noir,Sire iay ueu icy la dessoubz en une uallee six pauillons tendus deuant ung arbre ou il pendoit ung escu blanc a gouttes de noir,,ij|pauellons tendus deuant vn arbre ou il pendoit|j|escu blanc goute de noir,;e di dentro i padiglioni avea damigelle|che molto facieno grande duolo
6217|6218,et dedenz avoit damoiseles|qui menoient grant duel,et de dens les pauillens y auoit aucunes damoiselles,,& dedens lun dez paueillons auoit dames|qui menoient molt grant doel,
6219|6220|6221,Savez vos|por quoi il le faisoient|? — Nenil fait li prodons se aucuns n a forfait a Maudit le Jaiant,qui menoient moult grant dueil scauez uous pour quoy cest Nenny certes fist il se aucun ne a forfait a mauduit le geant,,Et saues vous fait il porcoi elles le menoient|Nenil voir fait li preudoms|Se aucuns na forfait a mauduit: le iaiant,Sapreste perché ciò est
6222|6223,— Coment li forferoit on|? fait mes sire Yvain,et comment quoy fist messire yuain le pourroit len courroucer de abatre fist il lescu,,Comment fait mesire ywains li forferoit on Ce vous dirai iou bien fait li prodoms,— E come li forfarebbe l uomo|? disse monsignor Yvano
6224|6225,—|Qui abatroit fet il l escu,,,qui abatroit son escu,— Chi abattesse lo scudo
6226,que vos veistes,que uous ueistes,que en tiempo,que vous ueistes,che vo vedeste
6227,et emporteroit s espee,et qui prendroit lespee,,& emporteroit sespee,e prendesse lo seudo|e l elmo
6228,et son hiaume,et le heaulme,,& son heaume,e lla spada
6229,que les damoiseles doivent garder il le tandroit a,que les damoiselles deuoient garder ie scay bien quil le tendroit a grant forfait,,que lez damoiseles doiuent garder|il le tendroit a,che lle damigelle dovieno guardare i' so bene
6230|6231,si grant forfait qu il en essilleroit tot le païs|— Enon Dieu fait mes sire Yvain,et essilleroit tout ce pays|En nom dieu fist messire yuain,,si grant forfait quil en essilleroit tout le pais: ENon dieu fet mesire ywain,ch elli il verebbe a gran forfatto|e diserterebbe tutto questo paese
6232,dont le puet il essillier,donc le peult il essillier,,dont le puet il essillier,
6233|6234|6235,car j ai l escu abatu|Lors li conte ou il trova la vielle|et li devise tout ce qu ele li avoit commandé,car lescu ay ie|Lois lui compta comment il eut trouuee la uielle,,quar iou ai lescu abatu: Lors li conte ou il trouua la vielle|& li deuise tout chou quele li auoit commande,e lli divisa ciò|che lla vechia li ebbe domandato a ffare|e come elli s era partito dalle damigelle
6236,et il l avoit fet,,,Et li dist comment il auoit fait,si gli disse
6237,et conment il estoit partiz des damoiseles,et comment il estoit parti des damoiselles,,Et comment il sestoit partis dez damoiseles,ch è spregionato acciò
6238|6239,qui faisoient le duel|Quant li prodons l antant,Quant lermite loyt,,qui faisoient le duel|Et quant li preudoms lentent,che non l ama passo
6240|6241,si dist Sire trop avez mal fait|car par ce desprisonnez sera Maudit li Jaianz qu il essillera tout cest païs,si dist a messire yuain beau sire trop auez mal esploitie|car par uous sera destruit tout ce pays de mauduit le geant|qui sera desprisonne a ce quil ne les ayme pas,,si dist vous aues trop mal fait|quar pour ce est Mauduis li iaians desprisonnes|& escillera tout cest pais,e metterà a onta
,,,,& metra en seruage tous ceuls,
,,si les mettra a honte,,,
6242|6243|6244|6245|6246|6247,et metra a servage com il a fait autre foiz|—|Que fera|donc li sires de cest païs|? fait mes sire|Yvain,et a seruage ainsi comment il a fait autresfoiz|Que fera|donc le seigneur de ce pays fist messire yuain il ny a aultre seigneur,que vter padragon non abia enesta tierra,qui y sont|si comme il a autre foys fait|Et que fera|dont li sires de cest pais fet mesire ywains,e a servaggio altresi com egli à fatto altra volta|— Che farà dunque il signor di questo paese|? disse monsignor Yvano
6248|6249|6250,— Sire fait il il n i a autre seingnor|que lui|si vos dirai conment,que lui fist lermite,si non jaianes,Sire fait li preudoms il ni a nul autre seignor fors lui|Si vous dirai comment,— E' non ci à diss elli altro signor di lui|e si vo dirò come
6251|6252,Il fu einsi au tans Uterpandragon qu en cest païs n avoit se jaianz non|qui conversoient en ceste forest,et uous diray comment Il fut ainsi ou temps uterpendragon quil ne auoit en ce pays se geyans non|qui conuersoient en ces forestz,que andaban porestas florestas Matando quantos Caualleros venian aesta tierra,Il fu au tans le roy vterpandragon quil nauoit en cest pais se iaians non|qui conuersoient en ces fores,eEgli è vero che rUterpandragone al su tempo|che non avea in questo paese se gioganti non|che conversavano in questa foresta
6253|6254,et en cels montaingnes|et vivoient ausi comme bestes,et en ces mentaignes|si uiuoient ainsi comme bestes,e quando Reyno el Rey artur oyo estas nuebas,& en ces montaignes|& viuoient aussi comme bestes,e in questa montagna|e vivevano altresi come bestie
6255|6256,et ocioient touz cels|qui venoient ceste part,et occisoient tous ceulx|que auenture amenoit ceste part,e vino aesta tierra y matolos todos,& ocioient tous ceus|qui uenoient ceste part,e uccidevano tutti coloro|ch aventura amenava in queste parti
6257,Quant li rois Artus fu venuz a terre tenir,et quant le roy artus fut uenu a terre tenir,,Et quant li roys artus fu uenus a terre tenir,E quando il re Artù venne a terra tenere
6258,et il or parler de cels diables,et uint ca:,e fallo vn niño,& il oy parler de ces deables,e elli udi parlare di questi diavoli
6259|6260,qui estoient|si grant,si les occist tous,que tenia vna dueña en braços|e mandaualo matar,qui estoient|si grant,ch erano|si grandi come no mostravano
6261|6262|6263,si vint en cest païs a tout grant gent|et les occist toz|Quant il vint a l entree d unne forest ci pres,si quil nen demoura ung tout seul|et quant le roy uint a lentree dune forest|qui cy prez est il y trouua une damoiselle,e demandoselo vn cauallero en enmienda del seruiçio,si vint en cest pais a tout grant gent|& lez ocist tous|Et quant il vint a lentree de ceste forest,si venne in questo paese a molto gran gente|e li uccise tutti|si che no ne lasciò nullo|eE quando il re Artù venne a l entrata d una foresta|che qui presso est
6264|6265,si trova en une roche une damoisele reposte fille d un jaiant|et estoit de grant biauté,qui estoit fille dun geiant|qui estoit mucee en une roche|si estoit de trop merueilleuse beaulte,que le hauia fecho y el Rey porle fazer merçed diole ala madre y al fijo con toda su tierra y el cauallero caso conella,si troua en vne roche vne damoisele reposte|qui iaiande estoit,si trovò una damigella figliuola d un giogante|che s era apiattata in una grotta|:esi era di maravigliosa belleza
6266,et tenoit entre ses braz un petit anfant,et tenoit entre ses bras ung petit geyandel,e quando el niño ouo quatro años fue maior,& tenoit entre sez bras vn petit enfant :,e tenea intra sue braccia un piccolo giogantello
6267,qui ses filz estoit,qui son filz estoit,que ningund Cauallero de toda la tierra,qui sez fils estoit,che suo figliuolo era
6268|6269,et ele estoit granz a merveilles|et n avoit mie plus de XV,et estoit grande a merueilles de son aage comme celle|qui ne auoit|que quinze ans,e quando llego alos ocho años fizolo el padrastro Cauallero porsu mal,Et elle estoit trop grant a merueille de son age|& si nauoit mie plus de|XV,eEgli era grande a maraviglia di suo agio come colui|che non avea ancora|che X
6270|6271,anz|Et quant li rois la volt occirre,et quant il leut prinse|et il la uoulut occire,ca lo mato devna cuchillada quele dio y la muger con Rauia del marido,? ans|Et quant li roys le uolt ocirre,anni|sE quand|e l ebbe presa
6272|6273,si sailli avant|I,si saillit ung sien cheualier,que vio|ansi muerto trauo de su fijo y el fijo con saña,si sailli auant vns cheualiers,e elli la volea uccidere
6274|6275|6276,chevaliers|qui lonc tans l avoit servi|et li demanda la damoisele,qui lauoit tousiours serui|et lui demanda la damoiselle en guerredon de son seruice,que hubo della saco el espada|e Cortole la Caueza,qui lonc tans lauoit serui|Et li demanda la damoisele,si sali davanti un cavaliere|che l avea molto lungamente servito elli domandò la damigella in guiderdone di suo servigio
6277|6278|6279|6280,et li rois li donna et|? tot le païs|et li laissa gent a puepler la terre|EtI li jovenciaux crut,et le roy lui denna|et tout ce pays|puis fut la tant quil leut espousee|et luy laissa grant gent a peupler ce pays|si fut la tant quil leut,e fincole ael toda la tierra|e quando los dela tierra oyeron esto ouieron miedo quelos matase,et li roys li donna|& tout le pais|& y laissa de sa gent a puepler la terre|Et li iouenenciaus,: ee l re liel donò|e tutto questo paese|e ffu là tanto come l ebbe sposata|e li lasciò gran gente a popolare questo paese|Erlla dama notricò suo figliuolo
,,,,qui fils estoit a la damoisele crut tous iours,
6281,si que,et en fist ces nopces|et la dame nourrist son filz le petit geyandel tant quil uint en laage de quinze ans plus grant sans comparaison,,si que,si come ciascuna madre notrica il suo|ll E elli crebbe ed enbarni
6282|6283|6284,quant il ot XIlll|anz qu il fu greindres|que hom de cest païs,que cheualier|qui fust en ce pays en aage parfait domme,e fizieronle omenaje de toda la tierra,quant il ot|Xiiij|ans il fu graindres|que nuls homs de cest pais,tanto che fu ne l agio de Xv|anni ed era più grande di tutti i cavalieri di questo paese
6285,Quant vient a XV,et quant il eut dishuyt ans,,Nuant li enfes ot|XV,E quand egli ebbe|xviiï
6286,anz,si le fist son pere cheualier cest assauoir cellui cheualier|qui auoit espousee sa mere il lapelloit son pere,,ans,anni
6287|6288|6289,si le fist ses parrastres chevalier|et cil fu de tel force qu il ne trouvoit chevalier armé|?,mais il estoit son parastre|et estoit le geant de telle forme quil ne trouuoit cheualier,e desque se vio muy señor de todas las fortalezas fueles muy brauo,si le fist sez parastres cheualier|Et il fu O de tel force quil ne trouoit cheualier arme quil ne trossast sour son col aussi legierement comme il feist vn enfant,si l fece su' patrigno cavaliere|e elli era di tal forza|che non trovasse già cavaliere|si possente|che nol torsasse sopra su' collo altresi come un fanciullo
,,,,,eEssuo patrigno
6290|6291,si pesant qu il ne troussast sor son col|si legierement com l an feist I,si puissant quil ne trousast sut son col ainsi comment ung enfant,,,si crucciò un giorno a llui non ssoj io per quale cagione
6292|6293,petit anfant|I,Si aduint,e muy esquibo,j,e quelli il fedi|e l uccise immantenente
6294,jor se correça ses parrastres a lui,que son parastre se courrouca ung iour a lui ne scay par quelle achoison incontinent,,iour se coroucha sez parastres a lui,si corse suso a suo figliuolo
6295|6296|6297,et le feri|et cil l ocist|Quant la mere vit ce,si le frapa le geant|et quant la mere uit ce quil auoit fait,e desonrrauales las fijas,si le feri|& cil locist maintenant|Et quant la mere vit chou,e que'|ch era scaldato|e pien di rabbia trasse immantanente la spada
6298,si courut sus a son fil,si courut sus a son enfant,,si corut sus a son fil,e uccise sua madre
6299,et il trest s espee,et le geant estoit alors fort courouce tira son espee,e las mugeres,et il traist lespee,E quando quelli di questo paese seppono
