a	b	c	d	e
				e là accivita la bisogna di questa damigella	
				ché molto avrei grande gioia s i' vi potesse venire a tempos	
5450|5451|5452|5453|5454|5455|5456|5457	qui ne tenoient ne dames ne damoiseles ainz tenoient chevaliers par ses mains|dont il i avoit assez plus|que de damoiseles|Et quant Lanceloz vint cele part|et il vit les queroles|dont li pin estoient avironné|si s en merveille molt|et toutes voies dist au vallet Molt a ci bele compaingnie	qui ne tenoifenlt ne dame ne damoisele|ains tenoient cheualiers|dont il y auoit asses plus|que de dames ne de damoiseles|Quant lancelot vint cele part|& il vit lez caroles|dont li pin estoient auironne|si sen esmeruelle moult|& dist au uallet|moult a Shi bele compaignie de gent	que llegaron avnos prados muy grandes|que estauan antevna torre y estauan ay treinta tiendas armadas y muy Ricas y en medio dellas estauan quatro pinos muy grandes todos enderredor vno ençerca de otro y entre los pinos estaua vna entrada devn marfil cubierta devn jamete vermejo y enmedio della estaua vna bara de plata y ençima dela vara estaua vna Corona de oro muy Rica y enderredor delos pinos andauan fasta quarenta entre dueñas y donzellas y caualleros dançando todos y|Quando los vido don lançarote dixo al escudero non me vala dios	Lungamente ànno parlato insieme|e tanto|che Boordo disse a monsignor Yvano|:eSire	
5458|5459|5460	et ranvoisie gent ! Il ne monstrent mie|que l an ne puist par ceste forest aler seurement|et dahaiz aie se je ne vois savoir de quoi il font	Et moult sont ore enuoisie gent|par foy il ne moustrent mie|que on ne puist passer parmi ceste forest hardiement|et dehe aie iou|se iou ne vois ueoir de coi il font	si esta no es fermosa auentura y desçendio del Cauallo y dexolo al escudero y fuese alla	i' vo comanderò a Dio	
5461	si grant feste	si grant feste		e me n andrò	
5462	Lors se fiert es pavillons	ors se fiert es pauellons			
5463	et si tost com il a le premier encontré	Et si tost comme il ot passe le premier dez paueil E lons	e tomo ala primera donzella		
5464	si li mue li sans	si li est mues li corages	que fallo porla mano	ch elli mi conviene a ffare	
5465|5466|5467	et li change li talanz:|car s il devant n avoit i talant fors de chevalerie|et d assaut	quar il nauoit deuant nul talent fors de faire cheualerie dassaut ou de mellee commencier	e comenzo a cantar y a danzar	ch i' mi studierei volentieri di mia bisogna mettere a ffine per sapere s io potessi essere a tempo al torniamento	
5468|5469	et de meslees comancier or est ses voloirs a ce menez qu il n a talant fors de queroler;|si oublie sa dame	ore est ses talens a chou menez quil na talent fors de caroler|Si en oublie sa dame		:	
5470	et ses compaingnons	& sez compaignons	como los otros	ch i' so bene	
5471|5472	et soi meesmes en tel manniere qu il ne l an souvient mais ainz descent de son cheval|et le baille a garder au vallet	& soi meismes quil ne li souuient de nullui|aincois descent de son cheual|& le baille a garder au uallet		che monsignor Lancelotto vi sarà	
5473|5474|5475	si giete sa lance|et son escu a terre|et s en vait a la querole toz armez le hiaume lacié	si prent sa lance|& son escu|& le giete en voies|& sen uait a la carole tous armes le heaume en la teste	e luego oluido toda caualleria y el amor dela Reyna y todas las otras cosas	se Dio il difende di morte	⁊ le maine en une chabre ou lancelot estoit
5476	et se prent a la premiere damoisele qu il encontre	Si prent le premiere damoisele|que il encontre			
5477|5478	Et lors conmance a chanter|et a ferir del pié ausi conme li autre	& lors commence a canter|& a ferir lun pie encontre lautre	e no sele venia amientes de otra cosa sino de aquello enque estaua y cantaua vna cantiga		
5479	si s anvoise	Si senuoise		e di pregione	
		?			
5480	et joue assez plus qu il n avoit onques mes fet	& cante plus quil nauoit onques|mais fait:			
5481|5482	et|tant que li vallez meesmes le resgarda	Et en fait|tant que li ualles		e per lui vedere vi voglio essere	
5483|5484	et le tient|por fol	qui lesgarde le tient pour fol		— Sire	
5485|5486	Et il chantoient une chançon|qui estoit faite de la roine Genievre	Et il cantoifenlt vne cancon de la royne Genieure	que fuera fecha ala Reyna ginebra y cantabalo entre	disse monsignor Yvano	
5487	et il chantoient en escotois	si cantoifenlt; tout en escoutois	si muy baxo de manera		
5488|5489|5490|5491	si que li vallez n antandoit mie bien qu il disoient|et neporquant tant en savoit|que li sans de la parole estoit tex Voirement avons nos la plus bele roine des autres|Quant li vallez a grant piece atandu illuec	si que li ualles nentendoit pas bien che quil disoient|Et nonpourquant tant en entendoit|que la parole del cant en estoit teuz|voirement avons nous la plus bele royne dez altres :|Quant li ualles ot grant piece atendu	que no lo podia entender el escudero sino muy poco|e desque vido el escudero	poscia	
5492	si li anuie molt ce qu il demore tant	si li anoie moult de chou quil y demeure tant	que tanto tardaua enojose	che vo' vo ne volete andare	
5493|5494	car il pert ce li ert avis sa jornee|Il vient a Lancelot	quar il li ert auis quil pert sa iornee|Lors sen uait a lancelot	porque perdia su jornada|e fuese|para don lanzarote	i' vo comanderò a Geso Cristo	
5495	et le prant par le pan del haubert	& le prent par le pan del hauberc	e trauole porel faldon dela loriga		
5496|5497	et li dist Sire venez vos an|car vos demorez trop	et li dist|Sire uenes vous ent|quar vous demores trop	e dixole señor venidvos|que mucho nos tardamos y el fue sañudo	che vo conduca in qualche luogo	
5498|5499|5500|5501	Et il respont touz iriez de ce qu il l araisonne Fui de ci laisse moi|car a je ne me remouvrai de ci|por toi ne|por autre	Et il respont iou ne me mouerai ne|por tois ne pour autrui	e dixole vete de aqui|que no quiero yr de aqui|por ti ni|por otro y	che vo' andiate	mais il ne dormoit pas
5502|5503	Et quant il oit qu il ne se remuera|si li est avis qu il soit courouciez	Et cil atent encore vn poi pour sauoir sil se remuera mes il nen fait nul samblant		“E	
5504|5505	por ce qu il l a trop tost apelé ;|si se retraist arriere"			si parte immantanente con esso la damigella per cui elli era di corte partito	
5506|5507	et atant encore l|poi	Et cil se tient		E monsignor Yvano rimase	
5511|5512	et quant il voit|que li solauz est ja tornez e		quando el escudero esto oyo cuido		
5513	si se tient		que se ensañaua	si piagato	
5514|5515	por fol de ce qu il a tant atandu|Lors revient a lui	por fol de ce quil a tant atendu|Et reuint a lancelot	porque lo Cuitaua tanto y tirose afuera		Quãt il uoit le roy bademagus uenir
5516	et le rapele une autre foiz	et le rapele vne autre fois			
5517|5518	et dist qu il s en viengne|Et cil	et li dist quil sen viegne|Et cil a		e si naverato	
5519|5520	qui il i ne souvient fors de jouer|et de queroler li respont Voirement fait il bon maintenir amors	qui il ne souient fors de ioie li respont voirementr fait il boin fest maintenir amors		ch elli avea ben mistieri di medico	
5521	et c estoit la chançon qu il disoient	et cestoit la canchonz quil disoient		ché molto avea perduto del sangue	
5522	Lors s aperçoit li vallez qu il est deceuz	Lors saperchoit bien li ualles|que il est deceus		Si si riposa intra llui	
5523|5524	et engingniez par la querole;|si commance a faire le greingnor duel del monde	et engignies par la carole|si commence a faire le greignour deul del monde		e l nano insin qua inverso nona	
5525	et maudit l eure qu il vindrent cele part	Si maudist leure quil vindrent onques cele part			
5526|5527|5528|5529	quant li mieldres chevaliers des bons i est pris par folie|et par anchantement :|si em plore|et en fait grant duel	quant li mieldres cheualiers del monde y est ensi pris par fol encantement|si en pleure|et en fait trop grant duel		Quando il caldo fu rimaso	si se dresce en son estant:
5530	Et quant il voit qu il n i porra plus panre	Et quant il voit quil ni porroit plus prendre		e l sole fu abassato|si monta monsignor Yvano in su' cavallo	
5531	si entre en son chemin	si sen entre en son chemin		: ei se ne va il piccol passo	
				tanto che viene a una abadia di bianche monache	
5532|5533	et erre grant aleure|et laisse Lancelot a la querole	et laisse lancelot en tele maniere a la carole		|e domanda l ostello|e'sergenti li salgono a lo ncontro per ciò|che malato lor sembia|eSi l disarmano al più dolcemente	
5534	Mais atant laisse ore li contes a parler de l un	Mais atant laisse ore li contes a parler de lancelot		ch elli possono|e 'l menano a coricare in una camera	
5535	et de l autre	& del uallet	por ver	e lli fanno riguardare sue piaghe a una delle dame di là entro|ch assai sapea di tal mistieri	
5536|5537	et retorne a parler de mon signor Yvain|car grant piece s an est teuz	Et retorne a parler de monseignor ywain a OR dist li contes		E quando ella l à ben proveduto|si gli disse|che non à guardia di morire|ch ella il crede rendere sano|e atato di dentro xv	
				giorni	
5538|5539|5540	Or dit li contes|que quant mes sire Yvain ot sejorné XV|jorz en l ermitage qu il fu sains	que quant mesire ywains ot seiorne|XV|iours a lermitage	si le mudaria el Corazon y attendio fasta ora de nona y entonze fue ael y llamolo	Si rimase insi là entro monsignor Yvano tanto|ch elli fu alquanto guarito delle piaghe|che Boordo li avea fatte	
5541	et gariz de la plaie qu il avoit eue	tant que il fu bien garis de sa plaie quil auoit eue		|e che poté cavalcare	
5542|5543	Lors se parti de laienz liez|et joieus	il|sen parti lies|et ioians	que non ay mayor deleite	si si parti di là entro	
5544|5545	et conmanda les freres a Deu|et erra toute jour sanz aventure trover	si commanda les freres a dieu|et erra tout cel iour sans auenture trouer	ca mantener siempre amor	e comanda le dame a Dio|si cavalca tutta la settimana insi come aventura il mena|tanto	
				ché molto l avieno ben servito in sua malattia	
				Quando monsignor Yvano	
				si fu partito di là entro	
5546|5547	qui a conter face|et l andemain ausi ;	qui a conter face|Et lendemain ausslsi	e veuir porel y estas palabras	ch elli venne in un bosco|Allor riguarda davanti lui nel camino|e vide una gran vecchia|suso un povero ronzino	
5548	et par tout la ou il venoit demandoit nouveles de Lancelot	et partout ou il uenoit demandoit il nouelles de lancelot del lac	que el dixo heran dela Cantiga y el no Curaua todavia sino de Cantar y de dançar y alli entendio el escudero|que don lançarote hera encantado	che tranava in costa sé unano|tutto a piè	
5549	mais onques ne trouva en tote la semainne	mais onques ne troua en toute la semaine	e dixo maldita sea la hora|que tal	per li capelli|e elli ebbe gran barba	
				“i l va la vecchia battendo di spine per me li ochi	
5550	qui nouveles li an deist	qui noueles len deist	ome es encantado y engañado y desque vio el esCudero|que mas no podia fazer fuese porsu camino adelante muy triste	ed e' va gridando|Aiuta	
5551	Si erra en tel manniere X	Si erra en tel maniere|xV	e con gran pesar|mas agora dexa el quento de fablar de don lanzarote	! Aiuta|vMonsignor Yvano	
5552	jorz	iors	que anda ensu dança y quenta delo|que abino a don yban con vores de ganus Agora dexa el Quento de fablar de don lanzarote y torna a don yban Agora dize el quento	si studia di tosto andare per socorere il nano|si disse alla vecchia	
5553	et tant qu il li avint par un lundi matin qu il encontra J	Et|tant que il li auint a vn lundi matin quil encontra	que despues de quinze dias|que don yban estubo enla hermita del Monte	quand|e l agiugne	
					
			que fue muy bien guarido de su llaga y entonze se partio dende y entro ensu Camino		
		i			
5554	nain	nain	como ante y todauia yba preguntando|por nuebas de don lanzarote y vn dia le auino	dama	
5555	qui chevauchoit un roncin troteor	qui cheualchoit vn roncin trotier	que fallo a un enano	per Dio|lasciate il nano	
5556	et aloit molt grant duel faisant	et faisoit moult grant duel	que fazia muy gran duelo y le pregunto	si farete cortesia	
5557|5558|5559	Et mes sire Yvain li demande s il set nouveles d un chevalier qu il vet querant|Et li nains s areste|et li demande	Et mesire ywains li demande sil set nulles noueles de lancelot	por nuebas de don lanzarote yo vos dire çiertas nuebas del|si me fazedes dar vn sabueso|que me tomaron yo telo fare dar dixo don yban|por pleito	Ella|si riguarda|e vide	si lui court a lencontre
			que tu muestres a don lanzarote de lago yo lo fare dixo el enano en tal		
5560	qui li chevaliers est		que vos vaiades conmigo entonzes se fue el enano|e don yban en pos del	che ciò è un cavaliere	
			e quando llegaron al pie de vn otero dixo el enano a don yban vedes aquel cauallero		
5561|5562	et il dist|que ce est mes sire a Lanceloz		que lleua aquella donzella aquel me tomo mi sabueso ve agora don yban le dixo y tomalo donde lo vieres y	si disse|che per lui non lascerà ella mica	
5563	del Lac			|dama	
5564|5565|5566|5567	e En non Dieu fait li nains de Lancelot vos dirai je bien nouveles se vos tant voliez faire|por moi|que I|brachet me feissiez randre	Enon dieu fait li nains oil de lui vous dirai iou bien nouelles se vous tant voles faire pour moi|que vous vn mien brachet me feissies rendre	si el cauallero se ensañare yo te defendere entonzes fue el enano ala donzella	fé elli	⁊ lui tẽt les bras
5568	que une damoisele m a orandroit tolu a force	que vne damoisele ma orendroit tolu a force			
		Et il li dist			
5569	Et il dist se il la damoile li monstre il li randra le brachet aseur soit il	que il li moustrast la damoisele|& il li rendra son brachet asseurs en soit			
5570	Et cil li creante loiaument	Et li nainz li creante			
5571	que il tex nouveles li dira par quoi il devra estre bien creuz	que il li dira nouelles|dont il deuera bien estre creus			
5572	Or me moinne donc fait mes sire Yvain la ou la damoisele est	Or me maine fait mesire ywains|dont la ou la damoisele est de			
5573	dont tu te plainz	qui tu te plains			
5574	et je te creant leaument	& iou te creans loiaument			
5575	que je ferai mon pooir de randre le toi	que iou ferai mon pooir de toi rendre ton brachet			
5576	Et cil dist qu il ne demande plus	Et cil dist quil ne demande plus			
5577	si s an torne tout le chemin qu il estoit venu grant oirre	si sen retorne le chemin quil estoit uenus grant oirre			
5578	et mes sire Vvain le siut adés	& mesire ywain apres			
5579|5580|5581	Tant ont alé qu il viennent a l avaler d un tertre|et lors voient devant aux I|chevalier tout armé	Ant ont ale quil viennent en la ualee dun tertre|Et lors voient deuant euls vn cheualier arme	que tenia el sabueso y quisoselo tomar		
