micha-iv-75-6	inc-iv-75-6	fr751-iv-75-6	sommer-iv-75-6	fr333-iv-75-6	fr111-iv-75-6	lanzarote-iv-75-6	lancellotto-iv-75-6
Ha, biaux amis, fait mes sire Yvain, je sui uns chevaliers erranz  qui mestier avroie de herbergier. Saichiez au seingnor ou a la dame  s’il me porroient anuit mais osteler. a» 	Lors uint a son seigneur  si lui demanda  se il pourroit ung cheualier hebergier 	Ha biax amis fait messires .y. Ie sui uns cheualiers errans  qui mestier auroie de herbreger  si le sachiez au signor ou a la dame de laiens. 	Et il dist  quil est vns cheualiers errans  et quil a moult grant mestier dostel. 	fet misire .y. ge sui .i. cheualier. errant.  qui auroit bien mestier de hebergier. 	haa bel amy ie suys ung cheualier errant  qui auroye mestier de herbreger. sachez au seigneur. et a la dame  silz me uoudront maishuy housteler. 		voleva.Al, bello amico, disse monsignor Yvano,  i’sono un cavaliere errante  ch’arei ben mistieri d’albergare». 
Et li vallez dist 	Ouy fist il uoulentiers 	Et li uarles dit 	et li ualles li dist 	Et li uallez li dit 	et le uarlet luy dist actendez moy 		E l valletto li disse 
qu’il atande tant qu’il li ait demandé. 	se ce nest le desloyal cheualier  qui ce pays a mis a destructien. 	quil atande  tant quil ait parle a son signor. 	quil atende  tant quil ait a son seignor parle. 	quil latende  tant que il lait demande 	tant que ie leur aye demande 		che-ll’atenda tanto che l’abbia domandato. 
Lors vient a son seingnor  et li conte tout ainsi 	Par ma foy fist il a ung escu a gouttes de noir. 	Lor uient a son signor  et li conte tot ainsi. 	Lors vint a son seignor  si li conte tout ensi  comme mesire ywain li ot dit. 	.et lors uient a son seignor.  et li demande  sil porra .i. cheualier. heberger. 	Lors uient a son seigneur  et luy dit. 		Allor viene assu' signor  e-lli domanda  s’elli potrà un cavaliere albergare. 
et li sires dist  que oîl volentiers, 	Ha ha fist il cest le cheualier desloyal	et li sires dit  que oil uolentiers. 	Et li sires li dist quil le fera uolentiers 	oil fet il uolentiers 	et le sire dist  que ouil moult uoulentiers 		Oil, diss’elli, volentieri, 
se ce n’est li desloiaux chevaliers 	Lors print ses armes et ung sien filz auec lui 	Ce ce nest li cheualiers 	se ce nest li desloiaus cheualiers 	se ce nest li desloiaux cheualiers 	si ce nest le desloyal cheualier 		se cciò non è il deslial cavaliere 
qui a mis cest païs a destruction. « 	qui estoit ieune cheualier 	qui a mis cest pais a destruicion. 	qui a mis chest pais a destruction 	qui a mis cest pays a destruicion. 	qui a mis ce pays a destruction. 		ch’à messo questo paese a distruzione. 
Par foi, fait li vallez, il porte l. escu blanc gouté de noir. — 	Si commanda a ses uarletz 	Par foi fait li uarles il porte .i.  escu blanc goute de noir. 	Par foy fet li ualles. il porte vn escu blanc goute de noir. 	par foi fet li uallez. il porte .i. escu blanc goute de noir. 	Certes fait le uarlet il porte ung escu blanc goute de noir. 		— Per fé, disse il valletto, elli porta uno scudo gocciolato di nero. 
Ha, fait il, c’est li desloiax chevaliers lerres ! » 	quilz leur apretassent deux des meilleurs cheuaulx de lance 	ha fait il cest li desloias lerres. 	ha » fet li sires cest il. 	ha: fet il cest li desloiaux. 	haa fait il cest le desleal cheualier lerre. 		— Hal, diss’elli, ciò è il dislealel». 
Lors cort a ses armes  et fait armer un sien fil jovene chevalier  et dist 	qui fussent en son seiour.  Puis parla a son filz en lennortant  et disant  quil se portast uaillant contre le desloyal cheualier  qui les auoit mis en seruaige par sa mauuaistie et oultrecuidance  Et que a leure estoit il temps 	Lors cort a ses armes  et fait armer un sien fil cheualier iosne.  et dit	Lors court a sez armes.  et fait armer. j. sien o fil iouene cheualier.  Et dist 	lors prent ses armes  et fet armer .i. sien filz ione cheualier.  et dit	Lors court a ses armes  et fait armer ung sien filz ienne cheualier. et dist 		Allor prende sue armi effa armare un suo figliuolo giovane cavaliere,  e dice 
que ja Diex ne li aïst s’il ne vanche son païs del destoial 	et encores trop tard de monstrer au cheualier la faulte  quil auoit faicte Dauoir despendu lescu de mauduit le geyant.  Par quoy tout le pays en seroit gaste et destruit a iamais  si prindrent tous deux leurs armes/ et leurs lances et glaiues/  et se misdrent en point 	que ia diex ne li ait  ce il ne uange le pais del desloial 	que ia diex ne li ait sil ne uenge le pais del desloial 	que ia diex ne li ait  sil ne uenche cels del pais del desloiax. 	que ia dieu ne luy aide  sil ne uenge son pais du desloyal 		che già Dio non l’atasse  se non vendica  que’ del paese del disleale 
	comme pour entrer en la bataille. 						
	Puis aprez leurs furent amenez leurs cheuaulx bien bardez/ et acoutrez de toutes choses. 						
	Si monterent dessus 						
	en disant 						
	que auiourduy seront uengez les cheualiers dames et damoisells 						
	Et ganeralement tous ceulx du plat pays du faulx traistre cheualier/ 						
qui ainsi les a honniz.	qui telle honte leur a faicte/  et tel dommaige. 	qui ainsi les a houniz. 	qui ensi lez a honnis. 	qui einssi les a touz honniz. 	qui ainsi les a honniz. 		che insi li à oniti. 
Et quant il est armez entre lui et son fil, 	Et messire yuain  qui tousiours estoit hors la porte attendant la response du uarlet 	Et quant il fu armes entre lui et son fil 	Et quant il fu armes et sez fils. 	Quant il est armez il et ses filz. 	et quant il est arme luy et son filz 		Quand’egli è armato, elli e su' figliuolo, 
	pour scauoir 						
si fait avaler le pont  et dist a mon signor Vvain: « Danz chevaliers. volez vos estre herbergiez ? — Sire, fait il,  oil, 	se il entreroit leans ou non/ Affin destre hebergie  et riens ne scauoit des aprestes  que le seigneur de la maison faisoit lui/ et son filz contre lui  si attendit tant et si longuement  que les autres fussent tous prestz de sortir sur lui  qui ne sen doubtoit 	si fist aualer le pont  et dit a mon signor .y. uolez uos estre herbregiez. Sire fait il oil	si fist aualer le pont. et dist a monseignor ywain. Dans cheualiers voles vous estre herbserglies. Sire fait il oil 	si fet aualer le pont.  Et dit a monseignor .y. danz cheualiers. uolez uous estre hebergiez. sire fet il oil	si fait aualer le pont.  et dist a messire yuain sire uoulez uous estre herbrege. Sire fait il. ouil 		si fa avallare m ponte e disse a monsignor Yvano: «Danzi cavaliere, volete voi essere albergato?  —Sire, diss’elli, oil, 
	Et quant ilz furent armez lui						
s’il vos plaist. — 	et sen filz  si fist aualler le pent 	ce il uos plait. 	sil vous plaist. 	sil uous plest. 	sil uous plaist. 		se vo piace. 
	puis dist le pere a messire yuain. Sire cheualier uoulez uous estre hebergie/ 						
	sire fist messire yuain. 						
Et vos le seroiz, fait il, en tel manniere 	Ouy sil uous plaist.  Et uous le serez fist il en telle maniere 	et uos le serois en tel maniere 	Et vous le seres fet il en tel maniere 	Et uous le serez fet cil en tel maniere.	et uous le ferez en tel maniere 		—E vo' sarete, diss’elli,  in tal maniera 
que ja ne vos en loeroiz,  car vos n’an poez eschaper  sanz mort ou sanz prison en guerredon de ce 	que ia ne uous en louerez.  Car uous nen eschapperez iamais sans mort/ ou sans prisen pour ce 	que ia ne uos en loerois.  Car uos ne poez eschaper san mort ou sans prison. En guerdon de ce 	que ia ne vous en loeres.  quar vous nen poes escaper sans mort. ou sans prison. en guerredon de ce 	que ia ne uous en loerez.  Car uous ne nous poez eschaper sanz mort ou sanz prison. 	que ia ne uous en louerez.  car uous nen pouez eschaper sans mort ou fans prison. 	que no fallo ome 	che già non voi ne loderete, che vol no noi potete scampare sanza morte o sanza pregione, 
que vos avez mis cest païs a mort et a destruction. » 	que uous auez mis ce pays a mort/ 	que uos auez mort fait il cest pais et mis a destrucion. 	que vous aues mis le pais a destruction. 	por ce  qui uous auez mis cest pays a mort et a destruiction. 	par ce que uous auez mis ce pays a mort et a destruction. 		per ciò che voi avete messo questo paese a morte e a distruzione. 
Lors li courent sur les espees traites 	et lors luy coururent sus les espees traictes/	Lors li courent sus les espees traites 	Lors li cueurent sus les espees traites. 	lors li corent sus les espees traites 	Lors luy courent sus les espees traictes 		Allora li corono susso, le spade tratte,
et il se desfent au mielz 	et il se deffendit au mieulx 	et il se desfant au miex 	Et il se desfent au miex 	et li sires .y. se desfent au miex 	et il se deffend au mieulx 		e egli si difende al meglio 
qu’il puet  comme cil	quil peult comme celui 	quil puet.  Con ciz	quil puet.  comme cils	quil puet comme cil 	quil puet comme cil 		ch’egli puote come colui 
qui a prouesce et hardement; 	qui assez cueuer auoit et hardement/ 	qui assez a proesce et hardement. 	qui asses ot en soi proece et hardement. 	qui assez auoit proesce et hardement. 	qui assez a prouesce et hardement. 		ch’assai avea prodeza e ardimento, 
si se cuevre de son escu et lor donne granz cox la 	Si leur donna messire yuain de grans coups/ la 	Si ce cueure de son escu et lor done grans cox la 	si se cueure de son escu .  et lor donne grans cops la 	et se cueure deson escu. et lor done granz colz. la 	si se cueuure  et leur donne grans coups la 		e-ssi cuopre di suo scudo  e lor dona gran colpi là 
ou il les puet ! ataindre et tant fait 	ou il les pouoit attaindre/  Et sefforca tant et si uaillamment	ou il les puet a ataindre.	ou il lez puet ataindre.  et tant fait 	ou il les puet ataindre. et tant sesforce 	ou il les ataint.  et tant fait 		ov’egli li puote agiugnere.  E tanto si sforza 
que il les grieve plus  que il lui.  si sueffre longuement 	que plus les greuoit/  que ilz ne fasoient luy,  si furent longuement.	et tant fait que plus les grieue que lui.  Si sueffre longuement	que il lez grieue plus  que il lui.  si sueffre longement 	que plus les grieue  que il ne font lui. si les suesfre longuement 	quil les griefue plus  quilz ne font luy.  si en seuffre longuement. 		ch’e' gli à più gravati  ch’elli lui;  si gli sofera molto lungamente 
et il n’en a de riens le peor tant 	quil nen auoit de riens le pire/ 	que il ne na de riens le piour. 	et nen ot de riens le Prèur et	quil nen a de riens le pieur.  et tant	et il nen a de riens le pire. 		che non à di nulla il piggiore, 
que a fine force les fait reüser desus le pont  qui estoit desus le fossé. 	Et tant que par force les fist reculer dessus le pont de lentree  qui estoit situe desus de grans fossez/ 	Tant que a fine forte les fait reculer desus le pont  qui estoit desor le foce.	tant que a fine force lez fait reculer sour le pont  qui estoit deseure le fosse. 	que a fine force les fet reculer desus le pont.  qui estoit desus granz fossez. 	et tant qua fine force les fait ruser de dessus le pont. 	que conel justar quisiese porel escudo 	tanto ch’a fine forza li fa riculare di suso il ponte  ch’era di sopra un gran fossato. 
Et lors s’abandonne plus et plus vers le pere 	Lors sabandonna messire yuain uers le pere pour ce	et lors sabandone plus. et plus uers le pere 	Et lors sabandonne plus et plus vers le pere 	lors sabandone uerz le pere plus et plus. 	et lors sabandonne plus et plus uers le pere 		eAllora s’abandona inverso il ponte più e più, 
qui moult li avoit fait anui:  si hauce l'espee  por ferir le desus le hiaume,  et cil 	que moult luy auoit fait grant ennuy/  si haulca lespee pour le frapper sur le heaulme/  et lautre 	que mout li auoit fait anui.  Si hauce sespee  por ferir sor le hiaume. et ciz 	qui plus li auoit fait danoi. si hauce lespee  por ferir le desour son heaume  et cil 	qui molt li auoit fet annui.  si hauce lespee  pour ferir le parmi le hialme.  Et cil 	qui moult luy fait dennuy. si hauce lespee.  pour le ferir sur le heaume et cil 		ché molto li avieno fatto invidia;  si alza la spada per fedire il padre per me l’elmo, e que che non l’osa attendere, tira a-ssé suo freno 
qui ne l’ose atandre tire a lui son fraing et li chevax chiet el fossé  et li chevaliers avec. 	qui uit le coup uenir lascha son frain  pour ce  qu il ne osoit le coup attendre/  et tira a luy sen cheual si durement  quil cheit  ou fossse luy et le cheual. 	qui ne lose atandre tire a lui son frainc.  et li cheuaus chiet el fosse  et li cheualiers auec. 	qui ne lose atendre trait a lui son frain  et li cheuaus chiet  el fosse a tout le cheualier. 	qui ne lose atendre. tire a lui son frain et li cheuax chiet el fosse. et li cheualiers aueuc. et misire .y. lesse corre lespee trete au filz 	qui ne lose actendre tire a luy son fraing  ce le cheualier et le cheual cheoient ou fousse 	que traia el quinto dia le auino 	e l cavallo cadde nel fosso,  e l cavaliere con esso. 
Et mes sire Yvain laisse corre, l’espee drecie contremont, au fil 	Et messire yuain sen retourna uers le filz et luy laissa courre lespee 	et messirez .y. laisse corre uers le fil lespee drecie contremont. 	Et mesire ywains laisse corre uers le fil 		et messire yuain laisse courre lespee drecee contrenont uers son filz 		E monsignor Ivano lascia corere, la spada tratta. al figliuolo, 
et le fiert si durement par mi son hiaume 	si le frappa si durement 	et le fiert si durement parmi le hiaume 	si le fiert si durement parmi son heaume. 	et le fiert si durement parmi le hialme 	si le fiert si fort sur le heaume 		e l fiede si duramente per me' l’elmo 
qu’il le fait voler del cheval a terre. 	quil le fist uoller a terre du cheual 	quil le fait uoler a terre del cheual. 	quil le fait voler del cheual a terre. 	quil le fet uoler a terre del cheual.	qu il le fait uerser du cheual a terre.		ch’elli il fa volare artterra del cavallo; 
Et quant il se voit ainsinc delivrés de cels. Il.	comme tout mort/  Et quant il se uit ainsi deliure de ceulx/ 	et quant messires .y. se uoit deliures de ses .ii. 	Quant mesire ywains se voit ensi deliure des. ij 	et quant il se uoit einssi deliures des .ii. 	Et quant il se uoit ainsi deliure de ceulx 		e quand’e si vide insi diliverato di due cavalieri 
qui asailli l’avoient, 	qui assailli lauoient/ 	qui asailli lauoient.	qui assailli lauoient 	qui assailli lauoient.	qui lauoient assailly.		ch’asalito l’avieno, 
si en est moult liez, 	Si en fut moult ioyeux/ 	si en estoit mout liez. 	si en est moult lies. 	si en est molt liez. 	si en est moult lie 		si n’è molto lieto, 
