a	b	c	d	e
1349|1350	si voit I|autre venir tot appareillié de joster	si en reuoit vn autre venir tout apreste de iouster	e Luego vino otro contrael aparejado de Justar		et uoit ung aultre uenir tout prest de iouster
1351|1352	et il nel refuse pas ains li torne le chief del cheval|et cil	& il li torne le cheual|et cil	e lançarote no Rehuso ante boluio la Cabeza del cauallo alla	e tanto	et il ne le reffuse pas|et celny
1353|1354	qui vint acorant li done tel cop en l escu|que tote sa lance vole en pieces	qui uenoit acorant li donne tel cop sor son escu|que sa lance vole em pieces	do lo vyo venir|e el cauallero lo firio|ansi que su lança le quebro En medio del escudo		qui uiẽt accourãt luy donne tel coup sur son escu q̃ sa lance uolle en pieces
1355|1356|1357	Et Lancelos|qui un poi porta sa lance bas|l'ataint par desus l arcon de la sele a	Et il aporte la soie j|poi plus bas	e lançarote lo hirio|ansi vn poco baxo|asi ençima del arçon dela silla	ch elli agiugne il cavaliere	⁊ lancelot porte la siẽni ung pou plus bas|si la actaint
1358	si le fiert	si le fiert		ch elli seguia	⁊ le fiert
1359|1360	si que les mailes del hauberc ne pueent soffrir le grant cop|que li glaives ne li voist par mi le cors	si durement|que lez mailles del hauberc ne porent soffrir le cop|que li glaiues ne li voist parmi le cors	asi quela loriga no lo pudo defender quela lança no le metiese pormedio del cuerpo		si du remẽt|que les mailles du haubers ne peurẽt le coup souffrir|que le glaiue ne lui uoit ꝑmi le corps
1361|1362|1363|1364|1365	si que li fers pert d autre part;|si l empainst|si durement qu il le porte a terre|et lui|et le cheval	si quil pert de lautre part|Et il lempaint|si durement quil porte lui|& le cheual a terre tout en|j|mont	asi que la Lança paresçio dela otra parte|e Dio conel|e conel Cauallo envno en tierra Mucho se Marauillaron los otros Caualleros desto|e dixeron	donde loro piaga gran colpi là ov'elli l agiungono	si quil porte luy|et le cheual a terre
1366	Et lors dient cil	Lors dient cil			Et lors dient ceulx
1367	qui devant s en aloient	qui deuant sen uont		ené unque per podere	qui deuãt sen alloiẽt
1368	que molt joste bien li chevaliers quant	que bien iouste li cheualiers qui	que mucho Justaua bien el Cauallero		que monlt iouste bien le cheualier
1369|1370	Il|de lor meillors compaignons a ensi abatus	ij|de lor compaignons a abatus	Que dos delos mejores Conpañeros auia derribado	ch elli abbiano no lli possono torre terra	Quant lanct lot eust rompu sa lance il mest la maina lespee
1371|1372	Et Lancelos laisse corre a els tos|qui encore estoient nuef;	Et lancelot laisse corre a aus tous quencore estoient	e lanzarote se lanço entonçe entre ellos|que heran veinte		et lesse courre uers les aultres|qui estoient uingt
1373|1374|1375	si ot l espee traite|por ce|que ses glaives estoit brisiés al chevalier qu il ot derrainement abatu ;	xij|Si trait lespee|quar ses glaiues iert brisies au cheualier quil auoit daarrainement abatu	e el conla espada enla mano|que la lança hera quebrada	anzi	si leur despiece eseus
1376|1377	si lor detrenche lor escus|et lor depiece lor hialmes	Si lor detrence escus|& lor pechoie heaumes	e començo a derribar escudos|e a cortar yelmos		⁊ detrenche leurs heaulmes
1378|1379	et lor ront les haubers sor les bras|et sor les espaules;	& derront haubers	e lorigas ençima de braços|e de espaldas		
1380	si fet tant par sa proesce	si fait tant par sa proece	asi que tanto hizo Porsu proeza	si va per me' loro molte fiate	et fist tant par sa proesse
1381|1382	que tuit cil|qui le voient s en merveillent	que tuit cil|qui Ie voient sen esmerueillent	que quantos lo vian se marauillauan ende mucho		que touo ceulx qni le uoiẽt en sont esmerueillies
1383|1384	Et la ou il voit le chevalier as armes vermeilles|si nel mesconoist pas ains li adresce par mi els tos	Et la ou il voit le cheualier as armes uermeilles|si ne le mesconnut mie ains li adrece le cheual parmi euls tous	e Quando vido el Cauallero delas armas vermejas ende endereço contrael		Et la ou il uoit le cheualier aux armes uermeilles|si luy adreche son cheual parmy tous eulx
1385|1386|1387|1388	et li done|si grant cop par mi le hialme|que cil est|si estordis qu il ne se puet es arçons tenir ains vole a terre	et li donne|si grant cop parmi le heaume quil ne se puet tenir es archons|ains cai a terre	e dixo esperad Cauallero|e diole vn tal golpe dela espada de toda su fuerça sobre el yelmo|que dio conel en tierra estendido	qualche grado	et lup donne tel coup sus le heaul me quil ne se peult tenir aux archons|mes uolle a terre
1389|1390	Et Lancelos li va par desus le cors a cheval|tant que cil pert la vertu	Et lancelot li uait par desor le cors|tant que tout le debrise	e traxo al cauallo tantas vezes sobre el quelo dexo medio muerto		et lancelot luy ua dõner|si grãt coup sus le col tant quil pert sa foiche
1391|1392	et la force tote a|Et lors sont li autre molt esmaié	Lors sont li autre moult esmaie	e quando los otros caualleros esto uieron fueron muy escaidos		et sa uertu|Lors sont les aultres bienesmapes
1393|1394|1395|1396	kar bien cuident|que cil soit mors|qui lor sires estoit;|si se metent en paine del vengier	quar il quident quil soit mors|Et il estoit lor sires|si se metent en paine de lui uengier	Ca bien Cuydauan|que su señor hera muerto|e metieronse en auentura de muerte lo vengar		car il cuident q̃ leur maistre soit moit|Ei se mettent en paine de le uenger
1397	et corent sus a Lancelot tuit ensamble	Si corent sus a lancelot	e dexaronse yr ael muy determinadamente|e lançarote		et courẽt sus a lancelot
1398|1399|1400	Mais il nel truevent pas|si esbahi qu il ne soit tos pres de soi deffendre;|si lor abandone son escu	mais il ne le trueuent pas esbahi|Ains est pres de lui desfendre|si lor abandonne son escu	que desto no se espanto ni vn poco|Ca bien se cuydaua defender baldonaua a todos su escudo		mes ilz ne le treuuẽt pas esbahp mes est prest de se deffẽ die|si leur habandonne son escu
1401|1402	et tient l espee|dont il lor done grans cops par la ou il les ataint ne onques	& lor donne grans cols la ou il lez puet ataindre|Ne onques	e daba tales Golpes consu espada		
1403	por pooir qu il aient ne li porent tolir terre ains se met par mi els maintes fois	por pooir|que il eussent ne li porent tolir terre		che n abbino|E di tanto gli avenne elli bene	
1404	quel gré qu il en aient	Ains ua sor aus a force|& mal gre auls	Que aquel	che non agiugne cavaliere a colpo	et il ne a cõ
1405|1406	Et de tant li avient il bien qu il n aconsieut chevalier a droit cop qu il ne face s espee sentir en char nue ou il nel port del cheval a terre:|si lor esrache les escus des cols	Et de tant li auint il bien quil nataint cheualier a cop quil ne li face lespee sentir en|car nue|ou il le porte del cheual a terre	que alcançaua aderecho golpe le fazia sentir la espada enla carne desnuda|e daua conel del cauallo en tierra|e les quebranto los yelmos enlas cabeças	che non gli faccia sentire la spada nella carne ignuda|e elli il porta del cavallo a terra|:|si loro arappa gli scudi di collo	surct cheualier a cous quil ne luy face lespee sẽtie iusques enl a char ou quil ne le porte du cheual a terre
1407|1408	et les hialmes des testes|et lor decoupe poins	Si lor arache lez heaumes des testes	e les cortaba piernas	e gli elmi di testa|e lor colpa pugna	
1409	et bras a		e braços|e	e braccia	Et les a
			asi que quanto alcançaua todo lisiaba		
1410	et se hurte en els de cors	et se hurte entreuls de cors	Que delos golpes dela espada	e si percuote in loro di corpo	
1411	et de cheval ;	& de cheual	que delos Pechos del caballo	e di cavallo	
1412	si en a V	si en a|y	e asi abia los çinco a tales partido	e di braccia	
1413|1414	si atornés qu il gisent a terre|si conreé qu il n ont pooir de relever	tels atornes|que il gisent a terre|& nont pooir de euls releuer	que non podian bollir pie ni mano tales yazian en tierra	si n à tali cinque atornati|che giacciono in terra|si conci|che non ânno podere di lor rilevare	si bien attournes quil en pa cinq gisans sur terre tellement quilz ne se peuẽt releuer
1415	Quant li autre voient ce	Et quant li autre uirent chou	e quando los Caualleros vieron las marauillas de armas	E quando gli altri vidono ciò	
				si loro est aviso che	
1416|1417	si lor est avis que s il i demorent plus il n em pueent eschaper sans morir|et por ce s enfuient al plus tost qu il pueent vers la forest ou il la voient plus espesse	si lor est auis|que sil y demoroient plus quil mi porroient durer sans mort|si senfuient au plus tost quil pueent vers la forest la ou il le virent plus espesse	Que el façia luego vieron queles conuenia morir|si mas ay porfiasen entonçes començaron todos a fuir contrala floresta ado vian la mayor espesura	s elli vi dimorassono più|e' non potranno scampare sanza morte|: perciò tornarono elli in fuga al più tosto|ch elli poterono inverso la foresta|là ov'elli la vidono più spessa	Et quant les aul tres uoiẽt q̃ leurs cõpaignons sont ainsy traicties ilz sen fuyent au plus tost quil peuẽt uers la foiest fa ou il la uiret plus espesse
					
1418	Et Lancelos ne les sieut mie granment ains retorne al chevalier qu il ot abatu celui as armes vermeilles	Et lancelot ne lez porsieut mie|ains sen retorne au cheualier	Quanto los cauallos los podian llebar Mas lan çarote no los quiso seguir|mas antes se fue al cauallero delas armas vermejas	anzi ritorna al cavaliere|ch elli ebbe abatuto	el lãcelot ne les poursuyuist pas ains retourne au cheualier|qui portoit les armes uermeilles
				quelli alle armi vermiglie	
			que auia derribado		
1419|1420	kar il voldra savoir|qui il est	qui auoit lez armes uermelles|Car il uaudra sauoir|qui il est	Por saber quien hera	ch elli vorà sapere chi egli è	car il ueust scauoir|qui il est
1421|1422|1423	Et quant il i est venus|si trueve l escuier|que il queroit	Et quant il y est uenus|si trueue lescuier quil queroit	e quando lançarote ay llego luego fallo el escudero|que ante el estaua enla tienda|que auia tomado	E quand|e v è venuto|si vi truova lo scudieri|ch elli chiedea	
1424|1425	que on avoit mis sor I|roncin a les mains liies triés le dos	& auoit lez mains loiies derriere son dos	e estaua envn rroçin las manos atadas atras	che l uomo avea già messo sopr un ronzino|le mani legate di dietro il dosso	et quãt il est uenu il treuue fescuyer quil quer oit monte sus ung rouchin les mains liees derriere le dos
1426|1427	et vient a lui|si le deslie	Et il vint a lui|si li desloie	e fue luego alo desatar	ed e' viene a llui|si 'l dislega	sy uint alui|et le deslie
1428|1429	Et quant il se sent delivrés|si li chiet as piés	Quant li escuiers se sent deliures|si sen uient uers lancelot|si li chiet as pies	e el escudero enque se vio libre hecho sele alos pies	|si gli cade immantanente a' piedi	et quãt il est deliure|si le mercie mõst
1430	et le mercie de Dieu ;	et le mercie moult de dieu de la cortoisie quil li auoit faite	e agradesçio mucho a dios	si ne l merceda molto|;	
			porque asi lo auia librado		
1431	et Lancelos descent	Et lancelot descent a pie	e lançarote desçendio del cauallo	e Lancellotto|si discende a ppiè	et lance|descẽt a terre
1432	si li baille son cheval a garder	si li baille son cheual a garder	e diolo al escudero	si gli baglia suo cavallo a guardare	⁊ lup baille son cheual a garder
1433	puis vet al chevalier	puis vint au cheualier	e fuese al cauallero	; poscia va al cavaliere	puys sen ua au cheualier
1434	qui ja s estoit relevés en son seant	qui ia sestoit releues en son seant|et estoit	que estaua ya ensu acuerdo|e se Reuoluia porse leuantar enpero estaua aun atordido	che già s era rilevato in suo sedente	qui ia estoit redrechie en son seant
1435	si estordis qu il ne veoit gote	si estordis quil ne veoit goute	que no via ni aun gota	si stordito|che non vedea nulla	si estourdy quil ne uoit goutte
1436|1437|1438	Et Lancelos li esrache le hialme de la teste|si felenessement|que cil flatist à terre des paumes	Et lancelot li errache le heaume de la teste|si felenessement quil flatist a terre tous pasmes	e lançarote quitole el yelmo dela cabeça tan rreçio|que dio conel en tierra delas manos	E Lancellotto gli arappa l elmo della testa|si fellonessamente|che quelli fretisce a terra d amendune le palme	et fancelot luy arcache le heaul me de la teste|si fellõnessement|que celui flatist a ter re des pausmes
1439	et de tot le viaire;		e delas Rodillas	e di tutta sua faccia	⁊ des genoul x
1440	si saine del nes		e al arrancar desollole las narizes	si sanguina del naso	
1441	et del front trop durement		e la frente|que la sangre le hizo ende salir muy fieramente	e della fronte molto duramente	
1442	Et Lancelos dist qu il l ocirra s i ne se tient		e dixole|si te no tienes	E Lancellotto gli dice|che gli colperà il capo se non	⁊ lui dit quil le occira sil ne se rent
1443|1444	por outré;|et cil est		por vencido yo te matare	si tiene per oltrato|e quelli est	Et celui est
1445|1446|1447	si esmaiés a qu il ne li puet respondre ains gist pasmés adens|Et Lancelos le redrece|si le trueve	Et lancelot le redrece|& le voit	e el cauallero estaua atal quele no podia rresponder|e asi estaua amortesçido|e lançarote catolo	si isvenuto|che non gli può rispondere|Se Lancellotto il ridirizza|si l truova	si esuanouy qͥl ne lui peut respondre mot aĩs gist tout pasme Lancclot le redrece|si le treuue sisenglant
				:	
				si non dice motto	
				anzi giace tutto ispasimato	
1448|1449	si ensanglenté qu il cuide bien|que il soit mors	si sanglent quil quide vraiement quil soit mors	e fallolo todo sangriento|e bien cuydo|que hera muerto	si insanguinato|ch elli crede bene|ch elli sia morto	que bien cuide quil soit mort
1450|1451	et lors se repent de ce|que tant li avoit fet mal;	Lors se repent de chou|que tant de mal li auoit fait	e mucho se arrepintio|porque tan mal lo auia fecho	eAllor|si ripente di ciò|che tanto gli à mal fatto	Lors se repent de ce q̃ il lui a tant meffait
1452|1453	si s asiet les lui|por veoir	Si sassiet lez lui pour sauoir	e tirose del todo|por verlo	si s asiede dallato a lui per vedere	Si se rassiet emprez lui pour ueoir quil fera
